,capacity,bikes_available_mean,docks_available_mean,n_observations,bus_count_300m,bus_unique_lines_300m,bus_nearest_m,metro_count_500m,metro_unique_lines_500m,metro_nearest_m,tram_count_500m,tram_unique_lines_500m,tram_nearest_m,poi_count_300m,bike_lane_len_300m,bike_lane_nearest_m,mean_altitude_150m,nearby_distance,income_2022_house,income_2022_pers,f,m,10-19,20-29,30-39,40-49,50-59,60-69,70+,total_population,education_primary,education_secondary,education_college,household_avg_m2,non_spanish_population,cars,others,motos,population,cars_abs,motos_abs,others_abs,unemployment_percentage,unemployment,bikes_available_std,bikes_available_min,bikes_available_max,docks_available_std,docks_available_min,docks_available_max,mechanical_bikes_mean,ebikes_mean,bikes_ratio_capacity_std,docks_ratio_capacity_mean,docks_ratio_capacity_std
capacity,1.0,0.5651863637812524,0.47454664306511996,-0.12426308969563502,-0.22396959598609256,-0.3418731367810702,-0.3890352223368739,-0.38719543089112834,-0.36335678391997495,0.16052771589988726,0.011062966585390195,0.006420451107257556,0.024448872035272576,-0.3662777392177369,-0.041871167395217,-0.2622588761247044,-0.38775298995742874,0.2826899483735619,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8510592724083176,0.020031315832880137,0.9704768922848662,0.8634626026115779,-0.19481884156872134,0.9611771749413902,0.39010858745061755,0.4145574594858901,0.4963717337112413,0.07167693703999424,0.49207827325626663
bikes_available_mean,0.5651863637812524,1.0,-0.3688952110004742,-0.0033220633665979877,-0.08700304151571299,-0.2440230756031609,-0.41251778093883357,-0.3190351258831968,-0.21817624596131652,0.2856804172593646,-0.08092969012610318,-0.0765782172453983,-0.259601706970128,-0.08725031133814282,0.05643822781402681,-0.3361782835467046,-0.8092664092664092,0.2809757434745082,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5502607871028924,0.11720514202027436,0.6486859006520642,0.5298719772403983,-0.48337896439449674,0.4524679597189967,0.9383594120436226,-0.018018018018018018,0.4217638691322902,-0.6723565670934092,0.3658131816026553
docks_available_mean,0.47454664306511996,-0.3688952110004742,1.0,-0.08328887440542099,-0.06694367723719252,-0.0588939163449852,-0.14058795637743007,-0.025158198498217807,-0.12232216964611227,-0.13205310573731627,0.07675125503807069,0.07085685618683406,0.29895685158843055,-0.2597356414971072,-0.04695281137469458,0.0002370791844476055,0.3837837837837838,0.2809757434745082,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38738738738738737,-0.37716013650113933,0.3682501568273946,0.42484589853010907,0.36968154647277024,0.5740761462681444,-0.49122807017543857,0.47107633949739214,0.2060218112849692,0.8902323376007587,0.29184447605500236
n_observations,-0.12426308969563502,-0.0033220633665979877,-0.08328887440542099,1.0,0.624057078003636,0.5814848610077034,-0.07498371598892602,0.44510047245851403,0.47115534230048717,-0.49427557090168633,-0.13845133768081064,-0.14228036727543295,-0.1398825967578224,0.5748696809602613,0.556221562734273,-0.363647293522244,0.12032211735263154,0.2812258777210312,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06952604045808645,-0.1887479486971086,-0.08034024826547997,-0.06561075149031026,-0.1356999200003494,-0.06697970459604845,0.0956279669099278,-0.234917338066572,-0.030847731261267032,-0.0011864512023564242,0.01708489731393251
bus_count_300m,-0.22396959598609256,-0.08700304151571299,-0.06694367723719252,0.624057078003636,1.0,0.8942722548780521,-0.1362612437381153,0.6970745626270044,0.7320434768851024,-0.7406534502838322,-0.35739264475942245,-0.35893360736844476,0.018278947330722783,0.6716130802593433,0.6285175141966551,-0.38065314343914264,0.26549839801486513,0.28134283587860187,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23548981496203897,-0.2151568274812244,-0.19971456627964815,-0.2390506488576343,0.114616679973678,-0.1639217786266835,0.02350150371092929,-0.3222554675513789,-0.26801209787514313,0.11204757324806693,-0.20664706040771666
bus_unique_lines_300m,-0.3418731367810702,-0.2440230756031609,-0.0588939163449852,0.5814848610077034,0.8942722548780521,1.0,0.044854558509210954,0.7824200243962478,0.7976596419005647,-0.7634793155268081,-0.25560563592918434,-0.25774999826430406,-0.07971499788109108,0.7710206044681741,0.6063346830988251,-0.31885999152436434,0.3943693611257842,0.2820139790934271,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2686514406201547,-0.22547326963770817,-0.2957841188708241,-0.2766229404082638,0.08266348070421375,-0.26092183515236317,-0.10232074354886318,-0.308627917169478,-0.23402895646583008,0.19321963665506256,-0.1625234135904036
bus_nearest_m,-0.3890352223368739,-0.41251778093883357,-0.14058795637743007,-0.07498371598892602,-0.1362612437381153,0.044854558509210954,1.0,0.06976234752645905,0.14644029207380882,0.03579895685158843,0.10380112429217582,0.09858345208602999,-0.08226647700331911,0.1038468379513765,-0.32558691928007905,0.6218587008060692,0.24736164736164737,-0.2809757434745082,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3909435751541015,0.2321563390016973,-0.3836978884787535,-0.4167852062588905,0.13217049936355438,-0.37420644122691826,-0.27453769559032715,-0.21266002844950213,-0.30962541488857276,0.026078710289236605,-0.32669511616880037
metro_count_500m,-0.38719543089112834,-0.3190351258831968,-0.025158198498217807,0.44510047245851403,0.6970745626270044,0.7824200243962478,0.06976234752645905,1.0,0.9385232875446501,-0.8155145503528575,-0.04419385589184652,-0.04309284229228946,-0.010938347173138177,0.8209108434089066,0.4412846344556347,-0.24866509240267456,0.4646343297897248,0.19205399033212564,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28840775379840994,-0.24958175962929038,-0.3503325588075083,-0.3032352910775528,0.031567039922747515,-0.29557510950404736,-0.17197512499989467,-0.26361416687263006,-0.17513509196102348,0.23954980309172608,-0.0968651410776792
metro_unique_lines_500m,-0.36335678391997495,-0.21817624596131652,-0.12232216964611227,0.47115534230048717,0.7320434768851024,0.7976596419005647,0.14644029207380882,0.9385232875446501,1.0,-0.7878586659714208,0.025469973477009487,0.025715175077374582,-0.1769899138155578,0.8612535425221498,0.46379633350113664,-0.2054369300123281,0.3669251252466549,0.19544430721529718,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29300426682673403,-0.14580770236255847,-0.31671798545098817,-0.31823553336647814,0.002065132984622391,-0.27644445359157266,-0.061222926162614336,-0.34816674171264517,-0.24155227231431473,0.12603265001960404,-0.17946356739788566
metro_nearest_m,0.16052771589988726,0.2856804172593646,-0.13205310573731627,-0.49427557090168633,-0.7406534502838322,-0.7634793155268081,0.03579895685158843,-0.8155145503528575,-0.7878586659714208,1.0,0.1125978297406653,0.11354701177765955,-0.02797534376481745,-0.6566297207907242,-0.530946185191622,0.30678046467520154,-0.5323037323037323,-0.2341464528954235,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23091512565196776,0.09466569163176007,0.16481541384949863,0.20957799905168326,-0.18539056732691572,0.10343821336358167,0.1768610715979137,0.20862968231389284,0.302275960170697,-0.31650071123755336,0.19369369369369369
