feature,vif
nearby_distance,1571592.210970708
n_observations,1537413.2342907868
bikes_available_std,264587.7560354585
docks_available_std,231379.3290328096
docks_ratio_capacity_std,130834.94565832392
bikes_available_max,104118.07879001826
bikes_ratio_capacity_std,100939.53417567536
capacity,100795.07782286212
bikes_available_mean,66822.69476274207
docks_available_max,51157.29962374616
docks_available_mean,36402.20584191507
docks_ratio_capacity_mean,12131.955852637624
mechanical_bikes_mean,9043.005996719228
ebikes_mean,2833.482117188944
bus_unique_lines_300m,596.1687765520037
bus_count_300m,591.1962245735613
metro_unique_lines_500m,386.517598064127
poi_count_300m,292.5600941870256
tram_nearest_m,281.3285779120326
bike_lane_len_300m,222.30021988204078
mean_altitude_150m,218.12310211702047
bus_nearest_m,180.9150444066842
metro_count_500m,151.5827339995379
metro_nearest_m,113.2812230444465
docks_available_min,40.98166912658789
tram_unique_lines_500m,32.227862202221914
bike_lane_nearest_m,27.128065029040368
tram_count_500m,26.013913987491986
bikes_available_min,13.074824036011247
