station_id,name,neighborhood,explanatory_score_0_100,explanatory_score_percentile,bikes_ratio_capacity_mean,target_percentile_0_100,structural_gap_score,score_interpretation,pred__xgboost,prediction_percentile_0_100,predictive_gap,predictive_interpretation
536,Estación de TESTING (no usuarios),la Marina del Prat Vermell,13.55,0.37,0.9117647058823528,100.0,-99.63,Infravalorada por score,0.2876635,47.7,0.624101,Infrapredicha por modelo
424,"PG. MARÍTIM DE LA BARCELONETA, 6",la Barceloneta,25.79,6.26,0.6729524795911064,96.5,-90.24,Infravalorada por score,0.6500709,99.08,0.022882,Infrapredicha por modelo
398,PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒ,la Barceloneta,21.63,2.58,0.5997593283816562,91.71,-89.13,Infravalorada por score,0.48211578,80.29,0.117644,Infrapredicha por modelo
31,PL. DEL MAR,la Barceloneta,29.98,9.02,0.6623979770667467,96.13,-87.11,Infravalorada por score,0.65927446,99.45,0.003124,Infrapredicha por modelo
32,LA BARCELONETA (CN BARCELONETA),la Barceloneta,24.32,4.6,0.5786310194878402,90.42,-85.82,Infravalorada por score,0.6213756,97.24,-0.042745,Sobrepredicha por modelo
116,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT",la Barceloneta,21.19,2.39,0.5474673663931976,86.92,-84.53,Infravalorada por score,0.46665335,77.72,0.080814,Infrapredicha por modelo
33,"C/ PONTEVEDRA, 58B | C/ JUDICI",la Barceloneta,37.03,20.99,0.708382925338566,99.08,-78.09,Infravalorada por score,0.66961086,100.0,0.038772,Infrapredicha por modelo
377,PL. ICTÍNEO,el Barri Gòtic,35.96,18.97,0.6759283963381081,96.87,-77.9,Infravalorada por score,0.44288847,72.74,0.23304,Infrapredicha por modelo
344,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",Baró de Viver,25.6,5.89,0.5166541541541542,82.69,-76.8,Infravalorada por score,0.49225092,81.22,0.024403,Infrapredicha por modelo
516,"C/ SANT ADRIÀ, 88",el Bon Pastor,31.45,11.42,0.5447625484800206,86.19,-74.77,Infravalorada por score,0.50700575,83.61,0.037757,Infrapredicha por modelo
162,"C/ RAMON TURRÓ, 292",el Poblenou,38.88,24.13,0.6992213282535863,98.53,-74.4,Infravalorada por score,0.6255268,97.79,0.073695,Infrapredicha por modelo
232,"C/ PALAUDÀRIES, 2",el Poble-sec,37.31,21.55,0.6368959674120819,95.03,-73.48,Infravalorada por score,0.51132905,84.16,0.125567,Infrapredicha por modelo
411,"C/ JOSEP PLA, 67",Diagonal Mar i el Front Marítim del Poblenou,32.31,12.34,0.5393781654473833,85.82,-73.48,Infravalorada por score,0.5435943,88.95,-0.004216,Sobrepredicha por modelo
