station_id,name,neighborhood,capacity,explanatory_score_0_100,explanatory_score_percentile,bikes_ratio_capacity_mean,target_percentile_0_100,pred__xgboost,prediction_percentile_0_100,structural_gap_score,predictive_gap
137,"GRAN VIA DE LES CORTS CATALANES , 1041",Sant Martí de Provençals,25,45.5,39.59,0.3589588732394366,59.3,0.5426413,88.77,-19.71,-0.183682
436,"PG. ZONA FRANCA, 54",la Marina de Port,27,32.46,13.08,0.3381746121332982,57.27,0.5161023,84.71,-44.19,-0.177928
404,"C/ JUAN GRIS, 28",la Bordeta,32,27.14,7.18,0.3018084686513306,51.2,0.47588825,79.01,-44.02,-0.17408
98," C/ DOLORS BATLLE I SUNYER, 2",Sants,21,50.37,50.74,0.1676142824653172,18.23,0.3346272,56.17,32.51,-0.167013
44,"AV. MERIDIANA, 71",el Fort Pienc,21,54.78,61.51,0.297699995060834,50.09,0.4590926,76.43,11.42,-0.161393
5,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)","Sant Pere, Santa Caterina i la Ribera",39,56.79,66.21,0.174814493460951,20.44,0.33400953,55.99,45.77,-0.159195
267,"PG. TORRAS I BAGES, 129",Sant Andreu,24,35.8,18.14,0.1807439433329565,23.2,0.33989015,57.09,-5.06,-0.159146
474,"VIA FAVÈNCIA, 47",Canyelles,24,20.96,2.03,0.1041877981892633,4.42,0.260611,41.62,-2.39,-0.156423
610,"C/ ÀVILA, 102",el Parc i la Llacuna del Poblenou,27,54.75,61.33,0.4105321202095395,69.43,0.5648637,92.08,-8.1,-0.154332
210,"C/ VILARDELL, 18",Hostafrancs,31,50.35,50.46,0.2886609558160505,47.7,0.4425484,72.56,2.76,-0.153887
558,"RBLA MUNTANYA, 49",el Guinardó,36,40.56,28.18,0.1436164833775755,11.42,0.29622117,49.54,16.76,-0.152605
46,"C/ VILLENA, 1",la Vila Olímpica del Poblenou,54,41.73,30.29,0.2395022140784853,36.83,0.3910312,66.3,-6.54,-0.151529
275,"AV. RIO DE JANEIRO, 3",Porta,32,41.24,29.47,0.1455210211902615,12.15,0.28782967,47.88,17.32,-0.142309
538,"AV. ESTADI, 38",el Poble-sec,24,33.67,14.36,0.1275802860485301,9.94,0.2697802,44.57,4.42,-0.1422
296,"C/ DE ROSSELLÓ I PORCEL, 1 | AV. MERIDIANA",Porta,33,24.37,5.16,0.2178874674516019,32.04,0.35732406,60.77,-26.88,-0.139437
209,"C/ DIPUTACIÓ, 200",l'Antiga Esquerra de l'Eixample,26,77.04,98.16,0.1926367564665436,27.07,0.326118,54.33,71.09,-0.133481
388,"C/ RIERA ALTA, 6",el Raval,35,50.37,50.74,0.3788036117381489,63.35,0.5114222,84.35,-12.61,-0.132619
191,"C/ ENTENÇA, 137",la Nova Esquerra de l'Eixample,37,57.86,67.77,0.1849912899692784,24.68,0.31637484,53.41,43.09,-0.131384
341,"PG. D'ENRIC SANCHIS, 33",el Bon Pastor,27,36.46,20.07,0.4417114988849847,72.93,0.57256424,93.0,-52.86,-0.130853
236,"AV. PARAL.LEL, 194",Sant Antoni,26,69.99,89.87,0.247148025088704,40.15,0.37580532,63.54,49.72,-0.128657
258,"C/ FERNANDO PESSOA, 41",Sant Andreu,27,40.32,27.62,0.162221721383317,16.76,0.2898901,48.43,10.86,-0.127668
263,"PG. TORRAS I BAGES, 29",Sant Andreu,20,47.93,45.86,0.2587476045541652,42.91,0.38388357,65.01,2.95,-0.125136
203,"AV. DIAGONAL, 668",les Corts,33,55.28,62.43,0.1041487105821191,4.24,0.22890028,34.81,58.19,-0.124752
470,"C/ GÒNGORA, 23",Verdun,24,31.46,11.6,0.0833476599808978,1.66,0.20692399,27.99,9.94,-0.123576
1,"GRAN VIA CORTS CATALANES, 760",el Fort Pienc,46,66.13,83.43,0.1913431588165633,26.34,0.31388718,52.85,57.09,-0.122544
