station_id,name,neighborhood,capacity,explanatory_score_0_100,explanatory_score_percentile,bikes_ratio_capacity_mean,target_percentile_0_100,pred__xgboost,prediction_percentile_0_100,structural_gap_score,predictive_gap
123,"C/ PROVENÇA, 317",la Dreta de l'Eixample,21,79.95,99.26,0.1190824635606803,7.18,0.15814237,11.23,92.08,-0.03906
68,"RAMBLA CATALUNYA, 133 /  CÒRSEGA",la Dreta de l'Eixample,27,76.24,97.61,0.121433250305617,7.73,0.20376064,27.62,89.88,-0.082327
102,"AV. DIAGONAL,  612",Sant Gervasi - Galvany,24,71.68,92.08,0.0937665381416799,2.39,0.15439084,9.39,89.69,-0.060624
598,"C/ BRUC, 103 (xamfrà)",la Dreta de l'Eixample,23,72.19,92.63,0.1177954684629516,6.81,0.19011775,23.76,85.82,-0.072322
219,"C/ LAFORJA, 74-76",Sant Gervasi - Galvany,26,69.54,89.32,0.1015429741738406,3.5,0.16794088,15.65,85.82,-0.066398
597,"C/ PROVENÇA, 310",la Dreta de l'Eixample,28,74.99,96.69,0.1497401280854761,13.08,0.16995946,16.02,83.61,-0.020219
553,"VIA AUGUSTA, 68",la Vila de Gràcia,32,66.1,83.24,0.0765286705006765,0.74,0.14371108,6.26,82.5,-0.067182
320,"C/ MADRAZO, 39",Sant Gervasi - Galvany,27,66.35,83.98,0.0888052838391438,1.84,0.15749325,11.05,82.14,-0.068688
107,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",Sant Gervasi - Galvany,20,70.09,90.06,0.1220380601596071,8.1,0.14348498,5.71,81.96,-0.021447
224,"C / GIRONA, 176",la Dreta de l'Eixample,26,71.5,91.34,0.1271982665222102,9.39,0.14127521,4.79,81.95,-0.014077
109,"C/ LONDRES,  53",l'Antiga Esquerra de l'Eixample,24,69.6,89.5,0.1264120291661944,8.66,0.17108434,16.39,80.84,-0.044672
595,"C/ BRUC, 88",la Dreta de l'Eixample,16,68.31,87.66,0.1211452813169466,7.55,0.21254718,29.1,80.11,-0.091402
27,"C/ PROVENÇA, 322",la Dreta de l'Eixample,17,64.68,80.66,0.0766652979588593,0.92,0.1512026,8.47,79.74,-0.074537
101,"AV. DIAGONAL, 602",Sant Gervasi - Galvany,24,72.86,94.29,0.1578665010164897,15.65,0.101994395,0.37,78.64,0.055872
221,"GRAN DE GRÀCIA, 155 (METRO FONTANA)",la Vila de Gràcia,24,68.48,87.94,0.1359775099496883,10.31,0.13450713,3.68,77.63,0.00147
25,"C/ BRUC, 102",la Dreta de l'Eixample,21,65.33,82.5,0.1086006104593465,5.16,0.2236219,32.78,77.34,-0.115021
189,"C/ BRUC, 130",la Dreta de l'Eixample,28,72.82,94.11,0.162887760857304,16.94,0.124416634,1.84,77.17,0.038471
73,"C/ ENRIC GRANADOS, 93",l'Antiga Esquerra de l'Eixample,27,72.89,94.66,0.1656008976653193,17.5,0.19826803,26.34,77.16,-0.032667
370,"C/ SARDENYA, 326",la Sagrada Família,32,67.76,87.29,0.1420438542136097,10.87,0.205241,27.81,76.42,-0.063197
92,"C / PROVENÇA, 241",la Dreta de l'Eixample,18,80.17,99.63,0.1812671245730585,23.57,0.19325659,24.68,76.06,-0.011989
88,"C/ LONDRES, 101-103",l'Antiga Esquerra de l'Eixample,20,66.98,85.45,0.1407945298372513,10.68,0.16586964,14.92,74.77,-0.025075
465,"C/ ROSSELLÓ, 261",la Dreta de l'Eixample,27,77.2,98.53,0.1837785040760359,24.31,0.1863456,22.65,74.22,-0.002567
368,"C/ DIPUTACIÓ, 373",la Dreta de l'Eixample,26,73.28,95.4,0.1768424792872742,21.36,0.29474702,49.17,74.04,-0.117905
319,"C/ SAGUÉS, 1",Sant Gervasi - Galvany,31,64.65,80.48,0.1127480160541663,6.45,0.13111675,3.13,74.03,-0.018369
220,"C/ TUSET, 19",Sant Gervasi - Galvany,27,70.93,90.98,0.1721848216263199,18.97,0.14775063,7.55,72.01,0.024434
