station_id,name,neighborhood,capacity,explanatory_score_0_100,explanatory_score_percentile,bikes_ratio_capacity_mean,target_percentile_0_100,pred__xgboost,prediction_percentile_0_100,structural_gap_score,predictive_gap
536,Estación de TESTING (no usuarios),la Marina del Prat Vermell,2,13.55,0.37,0.9117647058823528,100.0,0.2876635,47.7,-99.63,0.624101
517,"AV. RASOS DE PEGUERA, 10",Ciutat Meridiana,20,22.23,2.95,0.4122691441441441,69.61,0.16003878,12.15,-66.66,0.25223
39,PL. PAU VILA (D),la Barceloneta,44,42.57,31.77,0.7970874283374284,99.82,0.55378187,90.79,-68.05,0.243306
482,"PG. UNIVERSAL, 29 | C/ DOCTOR LETAMENDI",Horta,23,23.58,3.87,0.3589576579135528,59.12,0.122257285,1.29,-55.25,0.2367
129,"C/ MANSO, 46",Sant Antoni,23,58.45,68.69,0.6276377921899798,93.74,0.39132583,66.48,-25.05,0.236312
377,PL. ICTÍNEO,el Barri Gòtic,28,35.96,18.97,0.6759283963381081,96.87,0.44288847,72.74,-77.9,0.23304
57,"LA RAMBLA, 1",el Raval,37,41.5,30.02,0.7354401847518244,99.45,0.52363765,85.82,-69.43,0.211803
363,"C/ BRUC, 20",la Dreta de l'Eixample,24,71.32,91.16,0.4608711385365482,75.87,0.2526197,39.96,15.29,0.208251
112,"C/ FLORIDABLANCA,  49",Sant Antoni,20,58.34,68.14,0.5470113463562989,86.74,0.34822714,58.75,-18.6,0.198784
41,PL. POETA BOSCÀ | C/ ATLÀNTIDA,la Barceloneta,25,43.87,35.54,0.7616230838593328,99.63,0.56499195,92.27,-64.09,0.196631
159,"AV. DIAGONAL, 26",el Besòs i el Maresme,36,64.48,80.11,0.6801167281025101,97.24,0.48585942,80.85,-17.13,0.194257
234,"PG. DE L´EXPOSICIÓ,34",el Poble-sec,23,27.44,7.55,0.4766986297344682,78.27,0.28492028,47.51,-70.72,0.191778
262,"C/ ENTENÇA, 70",la Nova Esquerra de l'Eixample,24,70.49,90.61,0.5180436579501052,83.06,0.32690072,54.51,7.55,0.191143
373,"AV. PARAL.LEL, 132",Sant Antoni,30,59.29,70.07,0.5114973365994012,81.95,0.35070068,59.67,-11.88,0.160797
537,"AV. ESTADI, 12",el Poble-sec,40,39.24,25.23,0.3430506745266977,57.64,0.18391804,21.92,-32.41,0.159133
343,CAMPANA DE LA MAQUINISTA (SAO PAULO I P,el Bon Pastor,27,43.4,34.62,0.5923290284523764,91.53,0.4344869,71.64,-56.91,0.157842
77,"AV. FRANCESC CAMBÓ, 10","Sant Pere, Santa Caterina i la Ribera",24,64.36,79.93,0.6298741409929735,93.92,0.47414213,78.64,-13.99,0.155732
353,C/ MUNNÉ  2-6,Sants - Badal,31,45.01,38.03,0.38868747315468,65.38,0.23375952,36.1,-27.35,0.154928
82,"C/ CALÀBRIA, 112",la Nova Esquerra de l'Eixample,40,60.22,71.82,0.4292361894024802,71.82,0.28182906,46.41,0.0,0.147407
157,"C/ LLULL, 465",el Besòs i el Maresme,33,44.46,36.83,0.691359043952982,97.97,0.5459483,89.5,-61.14,0.145411
254,"RAMBLA DE L'ONZE DE SETEMBRE, 69",Sant Andreu,26,37.63,21.92,0.4941718376260963,79.93,0.35068336,59.48,-58.01,0.143488
469,"C/ SANT FRANCESC XAVIER, 1",la Prosperitat,12,34.44,15.47,0.3201848303843119,54.33,0.17683685,18.78,-38.86,0.143348
168,SELVA DE MAR / PG. DEL TAULAT,Diagonal Mar i el Front Marítim del Poblenou,27,48.74,47.51,0.685982893132194,97.42,0.5464071,89.69,-49.91,0.139576
212,"AV. SARRIÀ, 163",les Corts,24,42.04,31.12,0.2919108531500056,48.25,0.15293269,9.21,-17.13,0.138978
389,RECINTE PARC DE LA CIUTADELLA,"Sant Pere, Santa Caterina i la Ribera",27,46.14,40.88,0.6647386998561344,96.32,0.52598923,86.56,-55.44,0.138749
