station_id,name,neighborhood,capacity,explanatory_score_0_100,explanatory_score_percentile,bikes_ratio_capacity_mean,target_percentile_0_100,pred__xgboost,prediction_percentile_0_100,structural_gap_score,predictive_gap
536,Estación de TESTING (no usuarios),la Marina del Prat Vermell,2,13.55,0.37,0.9117647058823528,100.0,0.2876635,47.7,-99.63,0.624101
424,"PG. MARÍTIM DE LA BARCELONETA, 6",la Barceloneta,27,25.79,6.26,0.6729524795911064,96.5,0.6500709,99.08,-90.24,0.022882
398,PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒ,la Barceloneta,36,21.63,2.58,0.5997593283816562,91.71,0.48211578,80.29,-89.13,0.117644
31,PL. DEL MAR,la Barceloneta,18,29.98,9.02,0.6623979770667467,96.13,0.65927446,99.45,-87.11,0.003124
32,LA BARCELONETA (CN BARCELONETA),la Barceloneta,35,24.32,4.6,0.5786310194878402,90.42,0.6213756,97.24,-85.82,-0.042745
116,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT",la Barceloneta,34,21.19,2.39,0.5474673663931976,86.92,0.46665335,77.72,-84.53,0.080814
33,"C/ PONTEVEDRA, 58B | C/ JUDICI",la Barceloneta,21,37.03,20.99,0.708382925338566,99.08,0.66961086,100.0,-78.09,0.038772
377,PL. ICTÍNEO,el Barri Gòtic,28,35.96,18.97,0.6759283963381081,96.87,0.44288847,72.74,-77.9,0.23304
344,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",Baró de Viver,27,25.6,5.89,0.5166541541541542,82.69,0.49225092,81.22,-76.8,0.024403
516,"C/ SANT ADRIÀ, 88",el Bon Pastor,21,31.45,11.42,0.5447625484800206,86.19,0.50700575,83.61,-74.77,0.037757
162,"C/ RAMON TURRÓ, 292",el Poblenou,27,38.88,24.13,0.6992213282535863,98.53,0.6255268,97.79,-74.4,0.073695
232,"C/ PALAUDÀRIES, 2",el Poble-sec,27,37.31,21.55,0.6368959674120819,95.03,0.51132905,84.16,-73.48,0.125567
411,"C/ JOSEP PLA, 67",Diagonal Mar i el Front Marítim del Poblenou,24,32.31,12.34,0.5393781654473833,85.82,0.5435943,88.95,-73.48,-0.004216
349,"C/ DE L'ENERGIA, 2 / ALTS FORNS",la Marina de Port,32,22.32,3.13,0.4596562711482066,75.69,0.38350996,64.83,-72.56,0.076146
174,"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",Diagonal Mar i el Front Marítim del Poblenou,27,36.32,19.89,0.6058713590815415,92.08,0.60976267,96.32,-72.19,-0.003891
35,"C/ SANT RAMON DE PENYAFORT, 1",el Besòs i el Maresme,54,30.81,10.68,0.514282556010228,82.14,0.5194682,85.27,-71.46,-0.005186
446,"PG. JOAN DE BORBÓ, 42",la Barceloneta,15,40.14,27.26,0.6938085034397203,98.16,0.66509753,99.82,-70.9,0.028711
234,"PG. DE L´EXPOSICIÓ,34",el Poble-sec,23,27.44,7.55,0.4766986297344682,78.27,0.28492028,47.51,-70.72,0.191778
565,"C/ FRA JUNÍPER SERRA, 53 | C/ SANTANDER",el Bon Pastor,28,36.91,20.44,0.5809292805569881,90.98,0.5332466,87.48,-70.54,0.047683
57,"LA RAMBLA, 1",el Raval,37,41.5,30.02,0.7354401847518244,99.45,0.52363765,85.82,-69.43,0.211803
539,"C/ FRANÇA XICA, 4",el Poble-sec,16,27.66,7.73,0.4673906230412435,76.98,0.44336402,72.93,-69.25,0.024027
176,"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",Diagonal Mar i el Front Marítim del Poblenou,31,35.83,18.42,0.5482525366403608,87.29,0.5797288,93.55,-68.87,-0.031476
11,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",la Barceloneta,34,23.16,3.5,0.4311798128342246,72.19,0.5183589,85.08,-68.69,-0.087179
39,PL. PAU VILA (D),la Barceloneta,44,42.57,31.77,0.7970874283374284,99.82,0.55378187,90.79,-68.05,0.243306
124,C/ NOVA  BOCANA,la Barceloneta,31,30.71,10.13,0.4707696565184304,77.72,0.5440849,89.13,-67.59,-0.073315
