line_id,line,stop_name,lat,lon
4666995,T1,Avinguda de Xile,41.3807263,2.1148697
4666996,T1,Avinguda de Xile,41.3807557,2.1147979
4666995,T1,Ernest Lluch,41.3766761,2.1108868
4666996,T1,Ernest Lluch,41.3766921,2.110775
4666995,T1,Francesc Macià,41.3921793,2.1432109
4666996,T1,Francesc Macià,41.3922404,2.143184
4666995,T1,L'Illa,41.3904953,2.136533
4666996,T1,L'Illa,41.3905232,2.136522
4666995,T1,Maria Cristina,41.3879548,2.1265109
4666996,T1,Maria Cristina,41.3879818,2.1264998
4666995,T1,Numància,41.3893363,2.1319742
4666996,T1,Numància,41.3893636,2.1319611
4666995,T1,Palau Reial,41.3859123,2.1184709
4666996,T1,Palau Reial,41.3859396,2.1184588
4666995,T1,Pius XII,41.3867075,2.1216148
4666996,T1,Pius XII,41.3867337,2.1216038
4666996,T1,Zona Universitària,41.3842627,2.1144128
4666995,T1,Zona Universitària,41.3842711,2.1144492
4666998,T2,Avinguda de Xile,41.3807263,2.1148697
4666997,T2,Avinguda de Xile,41.3807557,2.1147979
4666998,T2,Ernest Lluch,41.3766761,2.1108868
4666997,T2,Ernest Lluch,41.3766921,2.110775
4666998,T2,Francesc Macià,41.3921793,2.1432109
4666997,T2,Francesc Macià,41.3922404,2.143184
4666998,T2,L'Illa,41.3904953,2.136533
4666997,T2,L'Illa,41.3905232,2.136522
4666998,T2,Maria Cristina,41.3879548,2.1265109
4666997,T2,Maria Cristina,41.3879818,2.1264998
4666998,T2,Numància,41.3893363,2.1319742
4666997,T2,Numància,41.3893636,2.1319611
4666998,T2,Palau Reial,41.3859123,2.1184709
4666997,T2,Palau Reial,41.3859396,2.1184588
4666998,T2,Pius XII,41.3867075,2.1216148
4666997,T2,Pius XII,41.3867337,2.1216038
4666997,T2,Zona Universitària,41.3842627,2.1144128
4666998,T2,Zona Universitària,41.3842711,2.1144492
4667000,T3,Avinguda de Xile,41.3807263,2.1148697
4666999,T3,Avinguda de Xile,41.3807557,2.1147979
4667000,T3,Ernest Lluch,41.3766761,2.1108868
4666999,T3,Ernest Lluch,41.3766921,2.110775
4667000,T3,Francesc Macià,41.3921793,2.1432109
4666999,T3,Francesc Macià,41.3922404,2.143184
4667000,T3,L'Illa,41.3904953,2.136533
4666999,T3,L'Illa,41.3905232,2.136522
4667000,T3,Maria Cristina,41.3879548,2.1265109
4666999,T3,Maria Cristina,41.3879818,2.1264998
4667000,T3,Numància,41.3893363,2.1319742
4666999,T3,Numància,41.3893636,2.1319611
4667000,T3,Palau Reial,41.3859123,2.1184709
4666999,T3,Palau Reial,41.3859396,2.1184588
4667000,T3,Pius XII,41.3867075,2.1216148
4666999,T3,Pius XII,41.3867337,2.1216038
4666999,T3,Zona Universitària,41.3842627,2.1144128
4667000,T3,Zona Universitària,41.3842711,2.1144492
4665781,T4,Ca l'Aranyó,41.404363,2.191515
4665782,T4,Ca l'Aranyó,41.404517,2.1914398
4665781,T4,El Maresme,41.4104628,2.2156503
4665782,T4,El Maresme,41.4105255,2.215634
4665781,T4,Fluvià,41.4077339,2.2049435
4665782,T4,Fluvià,41.4078868,2.2048765
4665781,T4,Fòrum,41.4118206,2.2198859
4665782,T4,Fòrum,41.4118502,2.2198212
4665782,T4,Glòries,41.4025864,2.1872825
4665781,T4,Glòries,41.4026216,2.1873791
4665781,T4,Monumental,41.4018583,2.1811543
4665782,T4,Monumental,41.4019891,2.1808813
4665781,T4,Pere IV,41.4060605,2.1982421
4665782,T4,Pere IV,41.4062304,2.1982588
4665781,T4,Selva de Mar,41.4091122,2.2104564
4665782,T4,Selva de Mar,41.4092736,2.2104084
4665781,T4,Sicília,41.4001598,2.1741732
4665782,T4,Sicília,41.4001872,2.174161
4665781,T4,Verdaguer,41.3984763,2.1674639
4665783,T5,Alfons el Magnànim,41.4171697,2.2135446
4665784,T5,Alfons el Magnànim,41.4171932,2.2135869
4665784,T5,Auditori | Teatre Nacional,41.3975452,2.1868584
4665783,T5,Auditori | Teatre Nacional,41.3975471,2.1869019
4665783,T5,Besòs,41.4201024,2.2096149
4665784,T5,Besòs,41.4201141,2.2095826
4665783,T5,Can Jaumandreu,41.4080857,2.1936474
4665784,T5,Can Jaumandreu,41.4081175,2.1935727
4665784,T5,Ciutadella | Vila Olímpica,41.3876173,2.1918882
4665783,T5,Ciutadella | Vila Olímpica,41.3876379,2.191917
4665783,T5,Espronceda,41.4113468,2.19793
4665784,T5,Espronceda,41.4113792,2.1979225
4665783,T5,Glòries,41.4025778,2.1874369
4665784,T5,Glòries,41.4025864,2.1872825
4665783,T5,Marina,41.3940631,2.186935
4665784,T5,Marina,41.3940648,2.186896
4665783,T5,Sant Martí de Provençals,41.41646,2.2047556
4665784,T5,Sant Martí de Provençals,41.416499,2.2047358
4665784,T5,Wellington | UPF,41.3901383,2.1885558
4665783,T5,Wellington | UPF,41.3901589,2.1885831
4665786,T6,Alfons el Magnànim,41.4171697,2.2135446
4665785,T6,Alfons el Magnànim,41.4171932,2.2135869
4665785,T6,Auditori | Teatre Nacional,41.3975452,2.1868584
4665786,T6,Auditori | Teatre Nacional,41.3975471,2.1869019
4665786,T6,Besòs,41.4201024,2.2096149
4665785,T6,Besòs,41.4201141,2.2095826
4665786,T6,Can Jaumandreu,41.4080857,2.1936474
4665785,T6,Can Jaumandreu,41.4081175,2.1935727
4665785,T6,Ciutadella | Vila Olímpica,41.3876173,2.1918882
4665786,T6,Ciutadella | Vila Olímpica,41.3876379,2.191917
4665786,T6,Espronceda,41.4113468,2.19793
4665785,T6,Espronceda,41.4113792,2.1979225
4665786,T6,Glòries,41.4025778,2.1874369
4665785,T6,Glòries,41.4025864,2.1872825
4665786,T6,Marina,41.3940631,2.186935
4665785,T6,Marina,41.3940648,2.186896
4665786,T6,Sant Martí de Provençals,41.41646,2.2047556
4665785,T6,Sant Martí de Provençals,41.416499,2.2047358
4665785,T6,Wellington | UPF,41.3901383,2.1885558
4665786,T6,Wellington | UPF,41.3901589,2.1885831
