census_section,cars,others,motos,population,cars_abs,motos_abs,others_abs
0801901001,288,139,410,1272,366.34,521.52,176.81
0801901002,149,36,154,1325,197.42,204.05,47.7
0801901003,120,28,80,3370,404.4,269.6,94.36
0801901004,147,22,110,2881,423.51,316.91,63.38
0801901005,136,29,122,2269,308.58,276.82,65.8
0801901006,145,26,102,1556,225.62,158.71,40.46
0801901007,140,26,92,1871,261.94,172.13,48.65
0801901008,113,15,81,3179,359.23,257.5,47.68
0801901009,119,23,94,2103,250.26,197.68,48.37
0801901010,112,25,81,2233,250.1,180.87,55.82
0801901011,115,20,89,3027,348.1,269.4,60.54
0801901012,126,17,91,1856,233.86,168.9,31.55
0801901013,121,23,76,1370,165.77,104.12,31.51
0801901014,91,22,86,1937,176.27,166.58,42.61
0801901015,91,38,79,2163,196.83,170.88,82.19
0801901016,81,17,86,2015,163.22,173.29,34.26
0801901017,98,17,87,2477,242.75,215.5,42.11
0801901018,102,31,134,1448,147.7,194.03,44.89
0801901019,122,27,96,2767,337.57,265.63,74.71
0801901020,138,23,108,2108,290.9,227.66,48.48
0801901021,180,43,127,2008,361.44,255.02,86.34
0801901022,154,27,111,1547,238.24,171.72,41.77
0801901023,223,43,145,1878,418.79,272.31,80.75
0801901025,1219,908,473,1256,1531.06,594.09,1140.45
0801901026,33,31,52,8836,291.59,459.47,273.92
0801901027,377,296,556,1425,537.22,792.3,421.8
0801901028,170,23,129,1857,315.69,239.55,42.71
0801901029,173,25,143,1358,234.93,194.19,33.95
0801901030,192,60,220,2409,462.53,529.98,144.54
0801901031,187,89,178,1591,297.52,283.2,141.6
0801901032,260,83,219,1637,425.62,358.5,135.87
0801901033,216,16,156,1019,220.1,158.96,16.3
0801901034,192,27,157,861,165.31,135.18,23.25
0801901035,221,38,158,1138,251.5,179.8,43.24
0801901036,237,31,215,1137,269.47,244.46,35.25
0801901037,213,32,157,1245,265.18,195.46,39.84
0801901038,186,28,120,1400,260.4,168.0,39.2
0801901039,213,22,151,1253,266.89,189.2,27.57
0801901040,222,40,132,1004,222.89,132.53,40.16
0801901041,209,22,166,1393,291.14,231.24,30.65
0801901042,198,36,121,1628,322.34,196.99,58.61
0801901043,223,83,3552,1602,357.25,5690.3,132.97
0801901044,211,34,158,1366,288.23,215.83,46.44
0801901045,159,31,135,1874,297.97,252.99,58.09
0801901046,156,34,151,1775,276.9,268.02,60.35
0801901047,147,37,126,1674,246.08,210.92,61.94
0801901048,144,25,113,2035,293.04,229.96,50.88
0801901049,139,24,141,1416,196.82,199.66,33.98
0801901050,156,20,112,1532,238.99,171.58,30.64
0801901051,128,21,114,1728,221.18,196.99,36.29
0801901052,243,39,153,2428,590.0,371.48,94.69
0801901053,176,26,123,1809,318.38,222.51,47.03
0801901054,124,38,158,1178,146.07,186.12,44.76
0801901055,239,29,123,1224,292.54,150.55,35.5
0801902001,346,102,103,1290,446.34,132.87,131.58
0801902002,97,11,49,3566,345.9,174.73,39.23
0801902003,258,23,130,1049,270.64,136.37,24.13
0801902004,231,35,138,1421,328.25,196.1,49.74
0801902005,317,34,167,1952,618.78,325.98,66.37
0801902006,291,24,146,1579,459.49,230.53,37.9
0801902007,287,30,151,1167,334.93,176.22,35.01
0801902008,302,23,165,1847,557.79,304.76,42.48
0801902009,272,31,157,1739,473.01,273.02,53.91
0801902010,300,26,144,1165,349.5,167.76,30.29
0801902011,309,22,143,1048,323.83,149.86,23.06
0801902012,240,29,170,1515,363.6,257.55,43.94
0801902013,256,106,177,1079,276.22,190.98,114.37
0801902014,214,30,126,1311,280.55,165.19,39.33
0801902015,228,28,157,1490,339.72,233.93,41.72
0801902016,255,25,154,1774,452.37,273.2,44.35
0801902017,266,30,175,1891,503.01,330.92,56.73
0801902018,296,26,162,1736,513.86,281.23,45.14
0801902019,255,64,152,1896,483.48,288.19,121.34
0801902020,228,24,154,1417,323.08,218.22,34.01
0801902021,243,31,146,1390,337.77,202.94,43.09
0801902022,248,45,149,1260,312.48,187.74,56.7
0801902023,302,19,148,1017,307.13,150.52,19.32
0801902024,237,30,163,1052,249.32,171.48,31.56
0801902025,253,26,125,1057,267.42,132.12,27.48
0801902026,257,20,140,1963,504.49,274.82,39.26
0801902027,250,23,112,1990,497.5,222.88,45.77
0801902028,272,60,172,1922,522.78,330.58,115.32
0801902029,261,35,124,1179,307.72,146.2,41.26
0801902030,212,33,136,1306,276.87,177.62,43.1
0801902031,256,19,146,995,254.72,145.27,18.9
0801902032,231,20,135,1036,239.32,139.86,20.72
0801902033,256,33,153,1097,280.83,167.84,36.2
0801902034,223,18,136,1127,251.32,153.27,20.29
0801902035,261,23,149,1181,308.24,175.97,27.16
0801902036,287,21,147,1137,326.32,167.14,23.88
0801902037,279,21,168,1143,318.9,192.02,24.0
0801902038,282,192,181,1472,415.1,266.43,282.62
0801902039,213,21,120,1672,356.14,200.64,35.11
0801902040,209,18,148,1601,334.61,236.95,28.82
0801902041,260,29,158,1535,399.1,242.53,44.52
0801902042,342,29,160,1522,520.52,243.52,44.14
0801902043,254,20,140,1407,357.38,196.98,28.14
0801902044,257,25,137,1230,316.11,168.51,30.75
0801902045,259,22,151,1115,288.79,168.36,24.53
0801902046,208,16,142,1806,375.65,256.45,28.9
0801902047,243,22,151,1867,453.68,281.92,41.07
0801902048,224,20,141,1233,276.19,173.85,24.66
0801902049,233,22,150,1923,448.06,288.45,42.31
0801902050,272,28,147,1550,421.6,227.85,43.4
0801902051,239,29,189,1775,424.22,335.48,51.48
0801902052,250,33,173,1698,424.5,293.75,56.03
0801902053,222,28,152,1768,392.5,268.74,49.5
0801902054,263,27,169,1772,466.04,299.47,47.84
0801902055,256,20,169,1746,446.98,295.07,34.92
0801902056,227,43,155,1411,320.3,218.7,60.67
0801902057,283,25,241,1198,339.03,288.72,29.95
0801902058,273,32,179,1273,347.53,227.87,40.74
0801902059,254,26,164,1598,405.89,262.07,41.55
0801902060,285,39,185,1564,445.74,289.34,61.0
0801902061,267,37,179,1281,342.03,229.3,47.4
0801902062,302,33,182,1482,447.56,269.72,48.91
0801902063,381,40,270,1038,395.48,280.26,41.52
0801902064,445,27,200,1242,552.69,248.4,33.53
0801902065,255,94,163,1744,444.72,284.27,163.94
0801902066,285,31,170,1695,483.07,288.15,52.54
0801902067,240,27,189,1603,384.72,302.97,43.28
0801902068,247,89,141,1542,380.87,217.42,137.24
0801902069,304,22,175,1296,393.98,226.8,28.51
0801902070,347,59,257,1204,417.79,309.43,71.04
0801902071,333,47,211,1605,534.46,338.66,75.44
0801902072,349,79,206,1157,403.79,238.34,91.4
0801902073,281,35,188,1546,434.43,290.65,54.11
0801902074,319,61,180,1220,389.18,219.6,74.42
0801902075,317,58,212,1192,377.86,252.7,69.14
0801902076,333,107,191,1550,516.15,296.05,165.85
0801902077,512,223,239,1674,857.09,400.09,373.3
0801902078,604,417,551,1385,836.54,763.14,577.54
0801902079,594,234,261,1419,842.89,370.36,332.05
0801902080,467,153,351,1502,701.43,527.2,229.81
0801902081,525,132,297,2055,1078.88,610.33,271.26
0801902082,487,85,387,853,415.41,330.11,72.51
0801902083,646,308,285,1834,1184.76,522.69,564.87
0801902084,304,63,735,1958,595.23,1439.13,123.35
0801902085,416,144,261,1350,561.6,352.35,194.4
0801902086,400,60,267,1336,534.4,356.71,80.16
0801902087,252,22,172,1356,341.71,233.23,29.83
0801902088,300,43,193,1596,478.8,308.03,68.63
0801902089,289,43,395,1667,481.76,658.46,71.68
0801902090,246,35,183,1655,407.13,302.86,57.92
0801902091,204,31,119,2179,444.52,259.3,67.55
0801902092,257,48,196,1693,435.1,331.83,81.26
0801902093,264,43,176,1600,422.4,281.6,68.8
0801902094,292,25,156,1438,419.9,224.33,35.95
0801902095,257,26,194,1447,371.88,280.72,37.62
0801902096,243,25,284,1326,322.22,376.58,33.15
0801902097,229,26,177,1050,240.45,185.85,27.3
0801902098,252,32,209,1366,344.23,285.49,43.71
0801902099,234,27,225,1534,358.96,345.15,41.42
0801902100,313,17,197,1286,402.52,253.34,21.86
0801902101,243,18,158,2038,495.23,322.0,36.68
0801902102,283,26,185,1306,369.6,241.61,33.96
0801902103,247,25,181,1585,391.5,286.88,39.62
0801902104,277,30,153,1123,311.07,171.82,33.69
0801902105,232,20,158,1971,457.27,311.42,39.42
0801902106,306,23,232,1365,417.69,316.68,31.4
0801902107,323,32,211,1532,494.84,323.25,49.02
0801902108,398,38,217,1497,595.81,324.85,56.89
0801902109,342,32,193,1982,677.84,382.53,63.42
0801902110,286,43,184,1774,507.36,326.42,76.28
0801902111,271,35,184,1768,479.13,325.31,61.88
0801902112,405,41,216,1204,487.62,260.06,49.36
0801902113,447,30,170,2084,931.55,354.28,62.52
0801902114,250,22,181,1535,383.75,277.83,33.77
0801902115,242,14,151,1262,305.4,190.56,17.67
0801902116,325,23,189,941,305.82,177.85,21.64
0801902117,325,47,181,1160,377.0,209.96,54.52
0801902118,437,63,175,1357,593.01,237.48,85.49
0801902119,314,19,168,1223,384.02,205.46,23.24
0801902120,311,27,241,1106,343.97,266.55,29.86
0801902121,327,36,166,1201,392.73,199.37,43.24
0801902122,329,19,154,987,324.72,152.0,18.75
0801902123,252,30,174,1033,260.32,179.74,30.99
0801902124,329,38,158,1023,336.57,161.63,38.87
0801902125,273,11,159,1567,427.79,249.15,17.24
0801902126,388,54,175,1391,539.71,243.42,75.11
0801902127,274,591,155,1112,304.69,172.36,657.19
0801902128,233,28,134,1246,290.32,166.96,34.89
0801902129,302,48,142,1449,437.6,205.76,69.55
0801902130,375,83,183,1067,400.12,195.26,88.56
0801902131,273,33,164,1074,293.2,176.14,35.44
0801902132,359,31,185,961,345.0,177.78,29.79
0801902133,297,16,166,760,225.72,126.16,12.16
