census_section,education_primary,education_secondary,education_college
0801901001,240,526,375
0801901002,258,506,386
0801901003,768,1310,628
0801901004,552,1200,880
0801901005,482,960,599
0801901006,320,629,458
0801901007,436,843,417
0801901008,919,1259,487
0801901009,460,841,492
0801901010,572,1003,496
0801901011,670,1324,641
0801901012,360,798,516
0801901013,285,651,342
0801901014,403,808,390
0801901015,414,1038,558
0801901016,410,876,527
0801901017,523,1123,542
0801901018,324,671,379
0801901019,547,1179,771
0801901020,255,921,992
0801901021,240,872,946
0801901022,251,708,698
0801901023,216,753,917
0801901025,97,553,625
0801901026,3778,6881,1575
0801901027,156,620,624
0801901028,175,755,868
0801901029,150,576,611
0801901030,393,1028,839
0801901031,215,604,592
0801901032,261,726,656
0801901033,157,497,343
0801901034,153,397,360
0801901035,188,502,423
0801901036,254,513,292
0801901037,250,627,311
0801901038,221,647,478
0801901039,208,609,402
0801901040,162,447,374
0801901041,192,629,546
0801901042,404,765,421
0801901043,126,521,831
0801901044,141,531,666
0801901045,184,740,934
0801901046,191,734,808
0801901047,268,656,698
0801901048,370,827,664
0801901049,186,607,530
0801901050,172,613,683
0801901051,247,701,647
0801901052,193,791,1162
0801901053,346,707,664
0801901054,198,449,537
0801901055,155,470,522
0801902001,176,532,501
0801902002,915,3099,1474
0801902003,131,468,492
0801902004,137,600,585
0801902005,163,782,885
0801902006,133,607,724
0801902007,82,421,596
0801902008,125,741,834
0801902009,148,703,730
0801902010,107,504,471
0801902011,113,527,419
0801902012,184,736,522
0801902013,115,475,463
0801902014,128,523,592
0801902015,163,676,597
0801902016,151,677,833
0801902017,158,753,825
0801902018,160,706,799
0801902019,189,790,759
0801902020,131,593,733
0801902021,177,627,569
0801902022,166,566,471
0801902023,123,433,391
0801902024,110,482,474
0801902025,135,488,419
0801902026,192,857,835
0801902027,215,897,795
0801902028,189,911,798
0801902029,125,510,471
0801902030,180,589,479
0801902031,105,435,387
0801902032,160,492,459
0801902033,115,500,443
0801902034,142,498,474
0801902035,134,583,487
0801902036,102,475,515
0801902037,104,504,450
0801902038,124,637,651
0801902039,156,798,752
0801902040,183,720,711
0801902041,185,693,664
0801902042,162,738,640
0801902043,122,569,638
0801902044,141,558,468
0801902045,121,499,423
0801902046,182,796,781
0801902047,212,812,747
0801902048,147,521,512
0801902049,251,810,840
0801902050,175,670,688
0801902051,226,777,755
0801902052,167,681,810
0801902053,138,701,881
0801902054,144,696,897
0801902055,161,639,852
0801902056,106,483,772
0801902057,59,394,636
0801902058,80,504,682
0801902059,118,603,825
0801902060,100,593,795
0801902061,108,497,641
0801902062,86,480,837
0801902063,89,387,622
0801902064,68,380,690
0801902065,126,560,910
0801902066,148,714,724
0801902067,127,598,804
0801902068,109,614,768
0801902069,100,456,697
0801902070,89,415,641
0801902071,83,521,850
0801902072,64,390,651
0801902073,98,528,891
0801902074,76,389,675
0801902075,70,388,648
0801902076,81,493,901
0801902077,115,548,972
0801902078,94,468,724
0801902079,88,420,824
0801902080,104,443,874
0801902081,99,664,1188
0801902082,47,320,532
0801902083,85,596,1098
0801902084,115,695,1111
0801902085,81,478,769
0801902086,93,453,718
0801902087,91,467,707
0801902088,115,578,850
0801902089,101,613,998
0801902090,119,593,919
0801902091,154,1276,1231
0801902092,136,622,883
0801902093,127,649,773
0801902094,98,508,784
0801902095,107,592,732
0801902096,130,572,623
0801902097,89,425,498
0801902098,104,535,764
0801902099,102,534,752
0801902100,104,535,624
0801902101,240,802,959
0801902102,83,456,678
0801902103,141,604,776
0801902104,93,420,572
0801902105,146,796,1034
0801902106,73,478,725
0801902107,99,569,780
0801902108,75,553,804
0801902109,106,758,1067
0801902110,123,669,875
0801902111,158,668,866
0801902112,83,478,611
0801902113,136,729,1074
0801902114,150,629,730
0801902115,133,547,575
0801902116,56,331,457
0801902117,89,435,525
0801902118,99,493,683
0801902119,100,428,590
0801902120,107,448,485
0801902121,107,489,524
0801902122,85,366,469
0801902123,105,430,507
0801902124,78,441,487
0801902125,140,624,730
0801902126,90,573,639
0801902127,106,490,553
0801902128,141,541,500
0801902129,163,624,631
0801902130,58,344,576
0801902131,121,424,470
0801902132,109,393,419
0801902133,91,325,352
0801902134,133,606,584
0801902135,204,815,876
0801902136,62,369,369
0801902137,113,613,652
0801902138,140,774,816
0801902139,135,638,771
0801902140,161,714,827
0801902141,122,482,487
0801902142,202,822,768
0801902143,159,547,694
0801902144,101,525,761
0801902145,125,482,521
0801902146,115,533,465
0801902147,196,860,834
0801902148,113,605,691
0801902149,164,741,748
0801902150,176,617,628
0801902151,121,627,591
0801902152,113,517,519
0801902153,174,555,530
0801902154,122,442,396
0801902155,227,794,645
0801902156,157,542,484
0801902157,138,523,444
0801902158,186,653,671
0801902159,148,748,814
0801902160,181,764,840
0801902161,105,454,481
0801902162,192,598,489
0801902163,226,693,752
0801902164,110,614,702
0801902165,185,673,660
0801902166,246,799,849
0801902167,268,905,760
0801902168,282,834,894
0801902169,203,583,597
0801902170,235,614,541
0801902171,220,688,537
0801902172,167,586,568
0801902173,177,650,540
0801903001,299,730,499
0801903002,305,879,507
0801903003,305,692,473
0801903004,212,643,519
0801903005,184,534,381
0801903006,193,615,422
0801903007,315,733,416
0801903008,206,495,323
0801903009,167,548,369
0801903010,306,894,520
0801903011,300,750,529
0801903012,335,934,618
0801903013,277,715,582
0801903014,292,759,515
0801903015,439,1234,908
0801903016,202,527,377
0801903017,268,665,515
0801903018,298,764,427
0801903019,249,637,398
0801903020,265,514,338
0801903021,218,491,236
0801903022,273,600,419
0801903023,326,725,495
0801903024,344,789,650
0801903025,452,791,388
0801903026,296,465,144
0801903027,314,920,326
0801903028,374,1096,764
0801903029,314,636,190
0801903030,322,819,283
0801903031,586,1172,311
0801903032,454,781,237
