census_section,household_avg_m2
0801901001,76.7
0801901002,67.9
0801901003,59.1
0801901004,65.0
0801901005,77.8
0801901006,77.7
0801901007,69.4
0801901008,54.1
0801901009,58.1
0801901010,55.2
0801901011,52.9
0801901012,56.4
0801901013,68.4
0801901014,61.9
0801901015,60.6
0801901016,59.9
0801901017,55.1
0801901018,70.2
0801901019,64.5
0801901020,89.7
0801901021,78.0
0801901022,104.1
0801901023,83.0
0801901025,84.3
0801901026,79.5
0801901027,95.7
0801901028,85.1
0801901029,90.3
0801901030,93.6
0801901031,81.8
0801901032,46.4
0801901033,42.0
0801901034,37.2
0801901035,38.1
0801901036,60.3
0801901037,53.8
0801901038,36.2
0801901039,52.2
0801901040,47.5
0801901041,36.1
0801901042,67.3
0801901043,81.9
0801901044,82.5
0801901045,70.1
0801901046,68.8
0801901047,62.5
0801901048,62.4
0801901049,81.5
0801901050,70.3
0801901051,58.6
0801901052,106.5
0801901053,57.2
0801901054,57.4
0801901055,84.8
0801902001,80.4
0801902002,77.7
0801902003,77.0
0801902004,81.5
0801902005,89.1
0801902006,91.5
0801902007,87.2
0801902008,89.3
0801902009,83.1
0801902010,92.0
0801902011,80.0
0801902012,74.8
0801902013,67.2
0801902014,73.3
0801902015,76.8
0801902016,82.8
0801902017,85.8
0801902018,89.3
0801902019,82.1
0801902020,71.6
0801902021,70.3
0801902022,76.8
0801902023,74.5
0801902024,70.8
0801902025,67.9
0801902026,75.0
0801902027,83.1
0801902028,71.9
0801902029,80.6
0801902030,74.5
0801902031,83.2
0801902032,77.5
0801902033,66.0
0801902034,65.4
0801902035,77.5
0801902036,82.0
0801902037,79.9
0801902038,73.3
0801902039,74.3
0801902040,65.0
0801902041,73.5
0801902042,84.8
0801902043,83.9
0801902044,75.4
0801902045,82.2
0801902046,77.6
0801902047,80.1
0801902048,76.6
0801902049,68.1
0801902050,68.8
0801902051,76.9
0801902052,72.4
0801902053,71.7
0801902054,78.4
0801902055,86.2
0801902056,97.2
0801902057,108.0
0801902058,85.9
0801902059,115.7
0801902060,100.5
0801902061,79.4
0801902062,114.7
0801902063,153.0
0801902064,115.4
0801902065,98.1
0801902066,88.4
0801902067,74.0
0801902068,89.8
0801902069,100.5
0801902070,111.1
0801902071,116.4
0801902072,128.0
0801902073,123.6
0801902074,129.5
0801902075,118.7
0801902076,134.7
0801902077,120.1
0801902078,125.2
0801902079,133.4
0801902080,143.2
0801902081,124.3
0801902082,127.8
0801902083,121.9
0801902084,101.0
0801902085,112.9
0801902086,118.5
0801902087,89.1
0801902088,96.8
0801902089,103.4
0801902090,92.5
0801902091,102.9
0801902092,94.7
0801902093,93.8
0801902094,98.9
0801902095,86.9
0801902096,82.2
0801902097,74.1
0801902098,91.0
0801902099,101.5
0801902100,80.3
0801902101,81.0
0801902102,90.8
0801902103,70.6
0801902104,90.9
0801902105,85.4
0801902106,102.2
0801902107,104.1
0801902108,102.9
0801902109,99.8
0801902110,79.3
0801902111,77.9
0801902112,100.8
0801902113,92.0
0801902114,81.6
0801902115,73.4
0801902116,93.9
0801902117,84.9
0801902118,89.2
0801902119,83.1
0801902120,75.1
0801902121,79.7
0801902122,83.3
0801902123,69.2
0801902124,80.4
0801902125,81.7
0801902126,88.2
0801902127,70.7
0801902128,68.7
0801902129,79.1
0801902130,121.5
0801902131,77.4
0801902132,76.3
0801902133,93.6
0801902134,71.4
0801902135,69.8
0801902136,79.1
0801902137,76.0
0801902138,87.7
0801902139,71.0
0801902140,81.4
0801902141,81.1
0801902142,75.8
0801902143,86.2
0801902144,104.9
0801902145,95.4
0801902146,91.2
0801902147,76.1
0801902148,75.1
0801902149,85.7
0801902150,81.0
0801902151,83.7
0801902152,86.2
0801902153,77.0
0801902154,71.7
0801902155,78.7
0801902156,79.7
0801902157,76.7
0801902158,80.7
0801902159,88.4
0801902160,84.4
0801902161,77.5
0801902162,71.8
0801902163,94.2
0801902164,96.4
0801902165,83.4
0801902166,78.5
0801902167,78.8
0801902168,73.4
0801902169,76.5
0801902170,76.6
0801902171,77.7
0801902172,69.2
0801902173,75.0
0801903001,71.7
0801903002,56.9
0801903003,57.9
0801903004,65.8
0801903005,65.0
0801903006,63.4
0801903007,60.2
0801903008,58.1
0801903009,69.3
0801903010,71.8
0801903011,54.4
0801903012,66.0
0801903013,57.3
0801903014,58.5
0801903015,66.0
0801903016,70.1
0801903017,54.8
0801903018,63.6
0801903019,64.0
0801903020,79.2
0801903021,74.1
0801903022,63.9
0801903023,60.3
0801903024,58.0
0801903025,89.6
0801903026,73.4
0801903027,65.1
0801903028,79.6
0801903029,77.3
0801903030,71.4
0801903031,77.2
0801903032,70.6
0801903033,61.5
0801903034,76.0
0801903035,82.7
0801903036,64.7
0801903037,63.7
0801903038,75.8
0801903039,66.6
0801903211,82.4
0801903212,73.7
0801903213,62.8
0801903040,78.4
0801903041,79.6
0801903042,65.0
0801903043,71.9
0801903044,72.2
0801903045,65.6
0801903046,82.4
