census_section,income_2022_house,income_2022_pers
0800101001,39943,15157
0800101002,38366,15024
0800101003,57906,18720
0800101004,44994,16534
0800101005,38999,14710
0800101007,42201,15932
0800101008,43622,15871
0800101009,42799,15389
0800201001,48930,16814
0800301001,60791,24019
0800301002,65088,22986
0800301003,70088,24754
0800301004,71084,22584
0800301005,54614,20515
0800401001,40844,18466
0800501001,59285,19955
0800501002,56332,20549
0800501003,66316,21901
0800501004,68349,22428
0800501005,53356,17336
0800601001,36643,15352
0800601002,36214,15230
0800601003,38726,14773
0800601004,55078,21323
0800602001,34726,14106
0800602002,37090,15519
0800602003,49788,18943
0800602004,37045,14170
0800602005,35585,14085
0800701001,40802,15094
0800701002,38656,14761
0800701003,39440,14880
0800702001,46818,17549
0800702002,36357,14439
0800801001,38901,15283
0800901001,49938,17664
0800901002,40427,16331
0800901003,30540,10591
0800901004,46984,15055
0800901005,57242,19330
0800901006,66921,21218
0800902001,42130,15168
0800902002,39292,15433
0800902003,40329,16382
0801001001,35999,14170
0801002001,38947,15424
0801002002,36077,13452
0801002003,42355,16286
0801101001,40144,15853
0801201001,38647,15010
0801301001,39864,15665
0801401001,41015,16768
0801501001,54478,21564
0801501002,47921,20195
0801501003,51483,21829
0801501004,51076,20912
0801501005,48786,20804
0801501007,49033,20238
0801502001,40852,15724
0801502002,49430,19550
0801502003,48255,19528
0801502004,49441,19123
0801502005,31784,12503
0801502007,29383,11207
0801502008,46287,18730
0801502009,24199,9763
0801502010,30503,11716
0801502011,30589,12985
0801502012,31370,12493
0801502013,29543,11524
0801502015,27531,11463
0801503001,35320,13799
0801503003,40005,15847
0801503004,47759,17816
0801503005,39720,15635
0801503006,45212,17539
0801503007,52711,20792
0801503008,42158,16754
0801503009,43366,18395
0801503010,31371,12679
0801503011,40705,16559
0801503013,57786,20873
0801503014,56099,19929
0801503015,52852,20133
0801504001,38083,13130
0801504002,40378,16438
0801504003,39718,16004
0801504004,40896,15795
0801504005,41030,15895
0801504006,37835,13721
0801504007,41446,15604
0801504008,35789,14996
0801504009,39306,15448
0801504010,30578,12601
0801504011,37793,15044
0801504012,39066,15112
0801504013,40964,15546
0801504014,52238,18509
0801504015,37711,13659
0801504016,46690,16551
0801505001,50372,20255
0801505002,45212,18676
0801505003,50479,19327
0801505004,43936,17848
0801505005,38102,15755
0801505006,48160,19610
0801505007,49146,19248
0801505008,53495,20101
0801506001,39611,14799
0801506002,57576,18968
0801506003,28385,11680
0801506004,29367,12067
0801506005,28996,12203
0801506006,28836,12035
0801507001,33301,12177
0801507002,39046,15643
0801507003,27963,11941
0801507004,40637,16370
0801507005,30435,10782
