census_section,non_spanish_population
0801901001,603
0801901002,764
0801901003,1584
0801901004,1494
0801901005,1123
0801901006,910
0801901007,1107
0801901008,1787
0801901009,1068
0801901010,1373
0801901011,1722
0801901012,950
0801901013,662
0801901014,858
0801901015,1270
0801901016,1105
0801901017,1429
0801901018,710
0801901019,1582
0801901020,1137
0801901021,1088
0801901022,1046
0801901023,977
0801901025,752
0801901026,10973
0801901027,771
0801901028,1051
0801901029,893
0801901030,1264
0801901031,890
0801901032,823
0801901033,522
0801901034,485
0801901035,575
0801901036,345
0801901037,440
0801901038,787
0801901039,529
0801901040,524
0801901041,796
0801901042,454
0801901043,741
0801901044,646
0801901045,1070
0801901046,1079
0801901047,874
0801901048,1009
0801901049,763
0801901050,857
0801901051,898
0801901052,1072
0801901053,755
0801901054,640
0801901055,420
0801902001,459
0801902002,4158
0801902003,282
0801902004,509
0801902005,465
0801902006,518
0801902007,302
0801902008,520
0801902009,514
0801902010,333
0801902011,268
0801902012,494
0801902013,373
0801902014,474
0801902015,515
0801902016,484
0801902017,524
0801902018,453
0801902019,527
0801902020,649
0801902021,444
0801902022,363
0801902023,173
0801902024,436
0801902025,333
0801902026,534
0801902027,575
0801902028,575
0801902029,272
0801902030,439
0801902031,220
0801902032,312
0801902033,318
0801902034,442
0801902035,348
0801902036,269
0801902037,187
0801902038,322
0801902039,585
0801902040,636
0801902041,449
0801902042,350
0801902043,345
0801902044,381
0801902045,262
0801902046,571
0801902047,524
0801902048,450
0801902049,760
0801902050,534
0801902051,703
0801902052,586
0801902053,577
0801902054,570
0801902055,458
0801902056,492
0801902057,254
0801902058,311
0801902059,484
0801902060,469
0801902061,425
0801902062,477
0801902063,337
0801902064,345
0801902065,543
0801902066,406
0801902067,584
0801902068,504
0801902069,372
0801902070,385
0801902071,432
0801902072,337
0801902073,532
0801902074,482
0801902075,429
0801902076,537
0801902077,839
0801902078,564
0801902079,602
0801902080,599
0801902081,728
0801902082,340
0801902083,690
0801902084,670
0801902085,522
0801902086,398
0801902087,336
0801902088,476
0801902089,619
0801902090,643
0801902091,1562
0801902092,674
0801902093,530
0801902094,501
0801902095,455
0801902096,471
0801902097,347
0801902098,488
0801902099,405
0801902100,318
0801902101,605
0801902102,251
0801902103,573
0801902104,261
0801902105,676
0801902106,371
0801902107,320
0801902108,321
0801902109,454
0801902110,497
0801902111,498
0801902112,221
0801902113,455
0801902114,349
0801902115,352
0801902116,105
0801902117,272
0801902118,283
0801902119,210
0801902120,231
0801902121,268
0801902122,177
0801902123,294
0801902124,193
0801902125,334
0801902126,265
0801902127,409
0801902128,357
0801902129,323
0801902130,117
0801902131,320
0801902132,207
0801902133,127
0801902134,345
0801902135,553
0801902136,201
0801902137,465
0801902138,471
0801902139,549
0801902140,448
0801902141,300
0801902142,553
0801902143,480
0801902144,489
0801902145,397
0801902146,344
0801902147,523
0801902148,398
0801902149,554
0801902150,522
0801902151,441
0801902152,304
0801902153,320
0801902154,378
0801902155,430
0801902156,270
0801902157,332
0801902158,468
0801902159,528
0801902160,491
0801902161,344
0801902162,400
0801902163,533
0801902164,586
0801902165,504
0801902166,654
0801902167,495
0801902168,661
0801902169,420
0801902170,383
0801902171,518
0801902172,415
0801902173,392
0801903001,484
0801903002,575
0801903003,613
0801903004,441
0801903005,393
0801903006,475
0801903007,533
0801903008,383
0801903009,374
0801903010,789
0801903011,775
0801903012,852
0801903013,772
0801903014,734
0801903015,1142
0801903016,491
0801903017,702
0801903018,582
0801903019,525
0801903020,359
0801903021,249
0801903022,452
0801903023,597
0801903024,692
0801903025,464
0801903026,155
0801903027,245
0801903028,595
0801903029,176
0801903030,325
0801903031,304
0801903032,386
0801903033,445
0801903034,295
0801903035,420
0801903036,413
0801903037,121
0801903038,95
0801903039,633
0801903040,601
0801903041,351
0801903042,355
0801903043,439
0801903044,519
0801903045,289
0801903046,272
0801903047,474
0801903048,333
0801903049,495
0801903050,483
0801903051,563
0801903052,416
