neighborhood,unemployment_percentage,unemployment
baro de viver,5.9,
can baro,5.0,
can peguera,7.3,
canyelles,9.0,
ciutat meridiana,10.4,
diagonal mar i el front maritim del poblenou,7.4,
el baix guinardo,5.2,
el barri gotic,4.3,
el besos i el maresme,6.3,
el bon pastor,4.9,
el camp d'en grassot i gracia nova,4.9,
el camp de l'arpa del clot,5.9,
el carmel,6.4,
el clot,5.9,
el coll,4.6,
el congres i els indians,5.3,
el fort pienc,4.8,
el guinardo,5.5,
el parc i la llacuna del poblenou,5.3,
el poble-sec,6.2,
el poblenou,5.2,
el putxet i el farro,4.2,
el raval,7.4,
el turo de la peira,5.9,
horta,6.0,
hostafrancs,5.2,
l'antiga esquerra de l'eixample,4.2,
la barceloneta,7.4,
la bordeta,5.3,
la clota,3.4,
la dreta de l'eixample,4.2,
la font d'en fargues,6.9,
la font de la guatlla,6.6,
la guineueta,8.3,
la marina de port,7.2,
la marina del prat vermell,4.1,
la maternitat i sant ramon,5.0,
la nova esquerra de l'eixample,4.9,
la prosperitat,6.6,
la sagrada familia,5.1,
la sagrera,5.6,
la salut,5.2,
la teixonera,5.7,
la trinitat nova,9.5,
la trinitat vella,9.9,
la vall d'hebron,6.5,
la verneda i la pau,6.2,
la vila de gracia,5.1,
la vila olimpica del poblenou,5.4,
les corts,5.1,
les roquetes,7.3,
les tres torres,3.3,
montbau,5.5,
navas,5.6,
pedralbes,2.4,
porta,5.7,
provencals del poblenou,6.3,
sant antoni,5.2,
sant genis dels agudells,5.6,
sant gervasi - galvany,3.2,
sant gervasi - la bonanova,3.3,
sant marti de provencals,6.4,
sants,4.6,
sants - badal,4.6,
sarria,2.8,
torre baro,9.5,
vallbona,10.9,
vallcarca i els penitents,4.9,
verdun,7.3,
vilapicina i la torre llobeta,6.6,
