element,id,geometry
way,31823240,"LINESTRING (426587.3958180954 4582128.831772753, 426581.8964744852 4582127.444108521, 426532.91222193476 4582110.819827961, 426432.8050908629 4582078.659850093, 426429.6826566041 4582077.492431204)"
way,34038369,"LINESTRING (426139.41910002555 4581982.2395279715, 426131.8515338894 4581979.77408648, 426045.86482340837 4581951.794505063, 425936.29358384793 4581916.15162152, 425893.4967606872 4581902.233008485, 425851.1946659645 4581888.46502407)"
way,36007263,"LINESTRING (431779.498667908 4586854.224572384, 431777.3103070451 4586854.32293019, 431774.56224452355 4586854.437670133)"
way,36007264,"LINESTRING (431716.04831880925 4586843.309491663, 431718.9927650208 4586837.441567245, 431721.66274709266 4586831.709469606)"
way,36726314,"LINESTRING (431036.15589769866 4582967.452090689, 431038.3365604641 4582965.543840729, 431040.93649354985 4582962.887707638, 431043.4629869155 4582960.421023431, 431045.26672162674 4582958.438644115, 431046.6411362889 4582957.026598522)"
way,36726315,"LINESTRING (430873.8353207085 4583131.267925961, 430867.1464402391 4583138.215552426, 430865.9128312325 4583139.4819525555, 430863.61323080206 4583142.057564938, 430833.23716945574 4583173.280205675, 430803.7481860293 4583202.817971007, 430800.65988094936 4583205.967386864, 430797.1070509152 4583209.498740579, 430791.1483333361 4583215.85101187)"
way,36726590,"LINESTRING (430777.1806654781 4583230.096260319, 430773.0831346556 4583234.365622796, 430771.64152592 4583235.733953986, 430768.1473474577 4583239.275864942, 430704.21642969426 4583304.816937704, 430699.56963244744 4583310.212990944)"
way,36726599,"LINESTRING (431626.5527527956 4584592.798437983, 431624.3338544233 4584590.621025907, 431582.317181169 4584552.846307874, 431576.029557707 4584547.343192249)"
way,37017540,"LINESTRING (428410.66899304726 4582705.193338287, 428407.53417404904 4582704.402702195, 428215.0060839859 4582641.144855471, 428059.88442121184 4582593.264470348, 428057.4363796676 4582592.600398992, 428048.32600395556 4582589.559848998)"
way,41381598,"LINESTRING (431646.94964238635 4581419.656446329, 431647.2364814478 4581421.696659377, 431665.46507215314 4581449.048628899, 431669.0277002135 4581454.399901152, 431712.5723696381 4581522.071904534)"
way,41381599,"LINESTRING (431907.58274216537 4581874.816306136, 431906.16599422 4581872.653468309, 431874.6072894281 4581824.497426156, 431843.5503652444 4581776.3923102515, 431840.8891340213 4581772.609076588, 431835.3133268935 4581763.890302284, 431818.4758729151 4581738.490031163)"
way,41381600,"LINESTRING (431695.13248260296 4581545.529988911, 431697.9591557038 4581543.782407674, 431704.65778333205 4581539.400274185, 431713.3345201954 4581533.73378447, 431715.8854831068 4581532.011014288)"
way,41381601,"LINESTRING (431721.75852074154 4581614.838216999, 431720.8443890632 4581611.893480633, 431709.3700885755 4581592.216385333, 431698.3546733896 4581573.323282285, 431693.685401525 4581569.436897383, 431692.4689030319 4581568.127129216)"
way,41389688,"LINESTRING (431868.06235100434 4583639.872446283, 431866.8052637185 4583637.763629276, 431860.78282191633 4583623.186737877, 431859.28561909037 4583619.547988094, 431822.6753186398 4583528.682651185, 431821.90710731724 4583527.002250303)"
