element,id,osmid,health_care,culture,tourism,recreation,sport,economic_retail,industrial,green,civic,worship,education,superpois,geometry
node,82753755,"('node', 82753755)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (429666.5904082736 4583782.78555477)
node,82781675,"('node', 82781675)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (429585.70057632023 4583850.544565209)
node,82781676,"('node', 82781676)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (429397.6331592467 4583944.730086195)
node,82781680,"('node', 82781680)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429526.8321442019 4583951.032564746)
node,82781682,"('node', 82781682)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429591.18052209634 4583991.987043274)
node,191824582,"('node', 191824582)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (430849.18537982483 4580869.707233422)
node,191894875,"('node', 191894875)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430948.2259467634 4581321.470013952)
node,191895326,"('node', 191895326)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430960.13727669034 4581305.124173991)
node,192066541,"('node', 192066541)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (430347.1966141001 4580827.171483533)
node,192067263,"('node', 192067263)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (430446.49068349716 4580742.569093199)
node,192086704,"('node', 192086704)",0,1,0,0,0,0,0,0,0,0,0,0,POINT (430558.1146133009 4581386.77415654)
node,192325938,"('node', 192325938)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (430726.80451978446 4580876.183047539)
node,194526301,"('node', 194526301)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (430871.3376213793 4581076.486096042)
node,194528211,"('node', 194528211)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (430810.624038879 4581527.57447859)
node,194528925,"('node', 194528925)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (430358.7323602303 4580763.952031594)
node,194541445,"('node', 194541445)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430245.3962964709 4580697.170136586)
node,194545328,"('node', 194545328)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430365.3694249053 4580741.849107792)
node,194546074,"('node', 194546074)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430412.7526984218 4580693.685104426)
node,194546734,"('node', 194546734)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430349.16683553834 4580677.119737017)
node,194586875,"('node', 194586875)",0,0,0,0,0,0,0,0,0,1,0,0,POINT (430469.76214084204 4581055.190781609)
node,196333977,"('node', 196333977)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (430385.7170794827 4580990.8793445)
node,196391570,"('node', 196391570)",0,0,1,1,0,0,0,0,0,0,0,0,POINT (430370.9246554542 4580826.510484133)
node,199125462,"('node', 199125462)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (430274.2521925396 4580697.458739744)
node,208984374,"('node', 208984374)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431112.22881168 4581077.5676277)
node,208986509,"('node', 208986509)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (431188.40849521157 4581114.91552008)
node,243345900,"('node', 243345900)",0,1,1,1,0,0,0,0,0,0,0,0,POINT (432227.0538798673 4581876.628517904)
node,312888956,"('node', 312888956)",0,1,1,1,0,0,0,0,0,0,0,0,POINT (432008.8968494786 4581970.42606631)
node,319840473,"('node', 319840473)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429623.69717380794 4581688.2275619265)
node,364731396,"('node', 364731396)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430135.2141218559 4582558.7175253)
node,364731424,"('node', 364731424)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (429953.9294992779 4582337.3888664935)
node,364731431,"('node', 364731431)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (429886.8204999439 4582403.822696855)
node,364731494,"('node', 364731494)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (429741.36399734323 4582560.328367003)
node,364735661,"('node', 364735661)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (429502.5743693905 4582817.537881647)
node,364741238,"('node', 364741238)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (429114.0390227686 4582942.262903327)
node,364741249,"('node', 364741249)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (429106.3302977545 4582869.636361727)
node,364741290,"('node', 364741290)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (429005.4251179979 4582908.1081817895)
node,364741610,"('node', 364741610)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (428987.60617629957 4582843.919149231)
node,364741620,"('node', 364741620)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428922.0784124943 4582818.780853734)
node,364813692,"('node', 364813692)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428488.0135506741 4582771.813146347)
node,364829683,"('node', 364829683)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (428165.72890155326 4582644.80879943)
node,364829684,"('node', 364829684)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (428130.69915590086 4582633.320508273)
node,364829688,"('node', 364829688)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (427933.2962877095 4582625.1225129375)
node,364829711,"('node', 364829711)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (427417.84942602384 4582415.459487069)
node,364838793,"('node', 364838793)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431491.3433957381 4581673.526416283)
node,364844476,"('node', 364844476)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (426901.85318809975 4582532.277285858)
node,364844485,"('node', 364844485)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (426874.51727540727 4582565.107179066)
node,364844493,"('node', 364844493)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (426647.1585057247 4582493.992759243)
node,365288417,"('node', 365288417)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (425588.5705309291 4582903.743983693)
node,367695151,"('node', 367695151)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (429256.08170934074 4581311.299848799)
node,402894808,"('node', 402894808)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (429349.1851315459 4584880.470655135)
node,412370992,"('node', 412370992)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428917.5227468858 4583874.227076261)
node,416524521,"('node', 416524521)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (427402.3515606523 4586997.543070197)
node,418140219,"('node', 418140219)",0,0,0,0,0,0,0,0,1,0,0,0,POINT (426554.55176379654 4583431.759515244)
node,418744309,"('node', 418744309)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (426694.2103119069 4583261.7451075325)
node,426890646,"('node', 426890646)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (431058.67290592944 4582943.943919987)
node,430607924,"('node', 430607924)",0,1,1,1,0,0,0,0,0,0,0,0,POINT (430618.03277096926 4581847.168623233)
node,430755048,"('node', 430755048)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428204.79849032837 4585716.539461495)
node,430755135,"('node', 430755135)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428336.11424935947 4585236.543023084)
node,432592965,"('node', 432592965)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430662.4486434056 4581312.085497465)
node,432593609,"('node', 432593609)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430831.2956487702 4581454.875540067)
node,432593610,"('node', 432593610)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430847.43586089846 4581449.714114083)
node,432593611,"('node', 432593611)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430855.96965237526 4581437.885871646)
node,432593612,"('node', 432593612)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430823.0967198352 4581468.4881748315)
node,432593613,"('node', 432593613)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430805.24399944744 4581513.236558744)
node,432593614,"('node', 432593614)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430800.17675217666 4581522.022888995)
node,438426043,"('node', 438426043)",0,1,0,0,0,0,0,0,0,0,0,0,POINT (431186.0836402107 4581494.476801245)
node,441597033,"('node', 441597033)",0,0,1,1,0,0,0,0,0,0,0,0,POINT (430688.8444098355 4581332.584215239)
node,449383314,"('node', 449383314)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (431791.71510622784 4587156.39728892)
node,449383767,"('node', 449383767)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (432388.4723511649 4585963.7075077165)
node,449384558,"('node', 449384558)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431932.5739684863 4585946.497503681)
node,451795996,"('node', 451795996)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431069.37494626397 4588688.113254978)
node,451796001,"('node', 451796001)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (431103.3667517239 4588697.704202965)
node,452479752,"('node', 452479752)",1,0,0,0,0,0,0,0,0,0,0,0,POINT (428083.8687893073 4584853.015736655)
node,462098682,"('node', 462098682)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431336.9411937442 4588107.169984824)
