scenario,model,feature,importance,signed_value,importance_type
all_demographics,xgboost,mean_altitude_150m,0.37056753,,feature_importance
all_demographics,xgboost,income_2022_pers,0.06927649,,feature_importance
all_demographics,xgboost,unemployment_percentage,0.05857293,,feature_importance
all_demographics,xgboost,tram_unique_lines_500m,0.056300387,,feature_importance
all_demographics,xgboost,tram_nearest_m,0.04846337,,feature_importance
all_demographics,xgboost,household_avg_m2,0.025171375,,feature_importance
all_demographics,xgboost,income_2022_house,0.022926133,,feature_importance
all_demographics,xgboost,m,0.022116449,,feature_importance
all_demographics,xgboost,40-49,0.018070918,,feature_importance
all_demographics,xgboost,cars,0.017346459,,feature_importance
all_demographics,xgboost,f,0.017041706,,feature_importance
all_demographics,xgboost,poi_count_300m,0.016534533,,feature_importance
all_demographics,xgboost,capacity,0.01371578,,feature_importance
all_demographics,xgboost,education_college,0.013219245,,feature_importance
all_demographics,xgboost,10-19,0.0126658315,,feature_importance
all_demographics,xgboost,bike_lane_len_300m,0.0125873545,,feature_importance
all_demographics,xgboost,cars_abs,0.012505872,,feature_importance
all_demographics,xgboost,tram_count_500m,0.011785361,,feature_importance
all_demographics,xgboost,metro_count_500m,0.011293747,,feature_importance
all_demographics,xgboost,30-39,0.01090901,,feature_importance
all_demographics,xgboost,education_secondary,0.010711586,,feature_importance
all_demographics,xgboost,education_primary,0.010694211,,feature_importance
all_demographics,xgboost,non_spanish_population,0.010677353,,feature_importance
all_demographics,xgboost,others,0.010273746,,feature_importance
all_demographics,xgboost,total_population,0.009966058,,feature_importance
all_demographics,xgboost,70+,0.00956169,,feature_importance
all_demographics,xgboost,motos_abs,0.009454799,,feature_importance
all_demographics,xgboost,others_abs,0.009321059,,feature_importance
all_demographics,xgboost,bike_lane_nearest_m,0.007826316,,feature_importance
all_demographics,xgboost,20-29,0.007753549,,feature_importance
all_demographics,xgboost,metro_unique_lines_500m,0.0076145832,,feature_importance
all_demographics,xgboost,50-59,0.007549308,,feature_importance
all_demographics,xgboost,motos,0.007464482,,feature_importance
all_demographics,xgboost,metro_nearest_m,0.0071127284,,feature_importance
all_demographics,xgboost,bus_unique_lines_300m,0.007111823,,feature_importance
all_demographics,xgboost,bus_nearest_m,0.0063977693,,feature_importance
all_demographics,xgboost,60-69,0.0060942797,,feature_importance
all_demographics,xgboost,mean_slope_150m,0.0056095254,,feature_importance
all_demographics,xgboost,bus_count_300m,0.005060031,,feature_importance
all_demographics,xgboost,population,0.0026746446,,feature_importance
