scenario,n_features,n_rows,model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std
all_demographics,40,543,xgboost,0.07367964085997544,0.0024285553198012074,0.058804979071229634,0.0023617757688857615,0.805074171453769,0.005141793597191188
all_demographics,40,543,hist_gradient_boosting,0.07638171056900055,0.005454030252281568,0.061373067459130994,0.0045978836094900345,0.7898868286782162,0.026155923663374138
all_demographics,40,543,random_forest,0.07675306245675254,0.005927103742172801,0.061213242950936476,0.004427475726938259,0.7881165810058144,0.025434898100753625
all_demographics,40,543,linear_regression,0.0986958202386336,0.00855779191488312,0.0770419586704301,0.00612727349981381,0.6469627492533812,0.06266623370510806
all_demographics,40,543,elastic_net,0.11349784999357368,0.006016849324714088,0.09212013203483428,0.006038351923493458,0.5373570258332323,0.031590337643608975
no_age_keep_sex,33,543,xgboost,0.07466767212750226,0.004055377465408042,0.059758453791553326,0.003815182484763773,0.7997595739127388,0.014137856292518285
no_age_keep_sex,33,543,random_forest,0.07659658913396415,0.005816862698328468,0.06100652343066396,0.004319409031578393,0.7889926007202751,0.024866188461155115
no_age_keep_sex,33,543,hist_gradient_boosting,0.07712339534119046,0.004976723623792735,0.061520692056845405,0.004365925172422577,0.7859419179201191,0.022932621771790583
no_age_keep_sex,33,543,linear_regression,0.10192887422362354,0.010683991680787848,0.07987549021808513,0.007585255823881094,0.6213198096512398,0.08421231063742743
no_age_keep_sex,33,543,elastic_net,0.11360463902012816,0.006301101204006181,0.0922888978355001,0.006293265901438513,0.5364559348471916,0.033850664377366085
no_age_no_sex,31,543,xgboost,0.07511410489314915,0.0042049637733608085,0.06025572844006213,0.0040792501352756826,0.7973582303870623,0.01484720258376501
no_age_no_sex,31,543,random_forest,0.07663428272220549,0.00578233652136005,0.06102154613600432,0.004313614707023318,0.7887991329758522,0.024590174944049154
no_age_no_sex,31,543,hist_gradient_boosting,0.07723287819205316,0.004534877618081895,0.061388028597813504,0.0040323674712306155,0.7855198718458032,0.019620353685912986
no_age_no_sex,31,543,linear_regression,0.10090056364471997,0.00961313642078331,0.07946408084835092,0.006838181092237938,0.6304524351003877,0.07097794001587028
no_age_no_sex,31,543,elastic_net,0.1136720380922172,0.00620545872978911,0.0923507309413106,0.006206261989395721,0.5359057014375417,0.033256875243082705
