scenario,feature,used,is_age,is_sex
all_demographics,10-19,True,True,False
all_demographics,20-29,True,True,False
all_demographics,30-39,True,True,False
all_demographics,40-49,True,True,False
all_demographics,50-59,True,True,False
all_demographics,60-69,True,True,False
all_demographics,70+,True,True,False
all_demographics,bike_lane_len_300m,True,False,False
all_demographics,bike_lane_nearest_m,True,False,False
all_demographics,bus_count_300m,True,False,False
all_demographics,bus_nearest_m,True,False,False
all_demographics,bus_unique_lines_300m,True,False,False
all_demographics,capacity,True,False,False
all_demographics,cars,True,False,False
all_demographics,cars_abs,True,False,False
all_demographics,education_college,True,False,False
all_demographics,education_primary,True,False,False
all_demographics,education_secondary,True,False,False
all_demographics,f,True,False,True
all_demographics,household_avg_m2,True,False,False
all_demographics,income_2022_house,True,False,False
all_demographics,income_2022_pers,True,False,False
all_demographics,m,True,False,True
all_demographics,mean_altitude_150m,True,False,False
all_demographics,mean_slope_150m,True,False,False
all_demographics,metro_count_500m,True,False,False
all_demographics,metro_nearest_m,True,False,False
all_demographics,metro_unique_lines_500m,True,False,False
all_demographics,motos,True,False,False
all_demographics,motos_abs,True,False,False
all_demographics,non_spanish_population,True,False,False
all_demographics,others,True,False,False
all_demographics,others_abs,True,False,False
all_demographics,poi_count_300m,True,False,False
all_demographics,population,True,False,False
all_demographics,total_population,True,False,False
all_demographics,tram_count_500m,True,False,False
all_demographics,tram_nearest_m,True,False,False
all_demographics,tram_unique_lines_500m,True,False,False
all_demographics,unemployment_percentage,True,False,False
no_age_keep_sex,bike_lane_len_300m,True,False,False
no_age_keep_sex,bike_lane_nearest_m,True,False,False
no_age_keep_sex,bus_count_300m,True,False,False
no_age_keep_sex,bus_nearest_m,True,False,False
no_age_keep_sex,bus_unique_lines_300m,True,False,False
no_age_keep_sex,capacity,True,False,False
no_age_keep_sex,cars,True,False,False
no_age_keep_sex,cars_abs,True,False,False
no_age_keep_sex,education_college,True,False,False
no_age_keep_sex,education_primary,True,False,False
no_age_keep_sex,education_secondary,True,False,False
no_age_keep_sex,f,True,False,True
no_age_keep_sex,household_avg_m2,True,False,False
no_age_keep_sex,income_2022_house,True,False,False
no_age_keep_sex,income_2022_pers,True,False,False
no_age_keep_sex,m,True,False,True
no_age_keep_sex,mean_altitude_150m,True,False,False
no_age_keep_sex,mean_slope_150m,True,False,False
no_age_keep_sex,metro_count_500m,True,False,False
no_age_keep_sex,metro_nearest_m,True,False,False
no_age_keep_sex,metro_unique_lines_500m,True,False,False
no_age_keep_sex,motos,True,False,False
no_age_keep_sex,motos_abs,True,False,False
no_age_keep_sex,non_spanish_population,True,False,False
no_age_keep_sex,others,True,False,False
no_age_keep_sex,others_abs,True,False,False
no_age_keep_sex,poi_count_300m,True,False,False
no_age_keep_sex,population,True,False,False
no_age_keep_sex,total_population,True,False,False
no_age_keep_sex,tram_count_500m,True,False,False
no_age_keep_sex,tram_nearest_m,True,False,False
no_age_keep_sex,tram_unique_lines_500m,True,False,False
no_age_keep_sex,unemployment_percentage,True,False,False
no_age_no_sex,bike_lane_len_300m,True,False,False
no_age_no_sex,bike_lane_nearest_m,True,False,False
no_age_no_sex,bus_count_300m,True,False,False
no_age_no_sex,bus_nearest_m,True,False,False
no_age_no_sex,bus_unique_lines_300m,True,False,False
no_age_no_sex,capacity,True,False,False
no_age_no_sex,cars,True,False,False
no_age_no_sex,cars_abs,True,False,False
no_age_no_sex,education_college,True,False,False
no_age_no_sex,education_primary,True,False,False
no_age_no_sex,education_secondary,True,False,False
no_age_no_sex,household_avg_m2,True,False,False
no_age_no_sex,income_2022_house,True,False,False
no_age_no_sex,income_2022_pers,True,False,False
no_age_no_sex,mean_altitude_150m,True,False,False
no_age_no_sex,mean_slope_150m,True,False,False
no_age_no_sex,metro_count_500m,True,False,False
no_age_no_sex,metro_nearest_m,True,False,False
no_age_no_sex,metro_unique_lines_500m,True,False,False
no_age_no_sex,motos,True,False,False
no_age_no_sex,motos_abs,True,False,False
no_age_no_sex,non_spanish_population,True,False,False
no_age_no_sex,others,True,False,False
no_age_no_sex,others_abs,True,False,False
no_age_no_sex,poi_count_300m,True,False,False
no_age_no_sex,population,True,False,False
no_age_no_sex,total_population,True,False,False
no_age_no_sex,tram_count_500m,True,False,False
no_age_no_sex,tram_nearest_m,True,False,False
no_age_no_sex,tram_unique_lines_500m,True,False,False
no_age_no_sex,unemployment_percentage,True,False,False
