model,feature,importance,signed_value,importance_type
xgboost,mean_altitude_150m,0.34848598,,feature_importance
xgboost,tram_unique_lines_500m,0.06340444,,feature_importance
xgboost,income_2022_pers,0.057134036,,feature_importance
xgboost,40-49,0.043230217,,feature_importance
xgboost,tram_nearest_m,0.03528029,,feature_importance
xgboost,education_primary,0.031455208,,feature_importance
xgboost,income_2022_house,0.029222528,,feature_importance
xgboost,m,0.027987592,,feature_importance
xgboost,70+,0.025008503,,feature_importance
xgboost,others_abs,0.020828685,,feature_importance
xgboost,unemployment_percentage,0.017269934,,feature_importance
xgboost,motos_abs,0.015971676,,feature_importance
xgboost,household_avg_m2,0.015380826,,feature_importance
xgboost,poi_count_300m,0.01516471,,feature_importance
xgboost,cars,0.013862631,,feature_importance
xgboost,capacity,0.013512466,,feature_importance
xgboost,f,0.013506638,,feature_importance
xgboost,tram_count_500m,0.0133052105,,feature_importance
xgboost,cars_abs,0.0129357455,,feature_importance
xgboost,metro_unique_lines_500m,0.012787256,,feature_importance
xgboost,50-59,0.012377774,,feature_importance
xgboost,motos,0.011936989,,feature_importance
xgboost,education_college,0.011552893,,feature_importance
xgboost,10-19,0.011511943,,feature_importance
xgboost,bike_lane_len_300m,0.011272769,,feature_importance
xgboost,bus_unique_lines_300m,0.011196052,,feature_importance
xgboost,others,0.010260329,,feature_importance
xgboost,30-39,0.009946965,,feature_importance
xgboost,metro_count_500m,0.009442324,,feature_importance
xgboost,20-29,0.009005995,,feature_importance
xgboost,population,0.008251277,,feature_importance
xgboost,education_secondary,0.0077243354,,feature_importance
xgboost,non_spanish_population,0.0077105663,,feature_importance
xgboost,metro_nearest_m,0.0066153333,,feature_importance
xgboost,bus_count_300m,0.006522367,,feature_importance
xgboost,bus_nearest_m,0.0064399065,,feature_importance
xgboost,bike_lane_nearest_m,0.0063169575,,feature_importance
xgboost,60-69,0.0061600455,,feature_importance
xgboost,mean_slope_150m,0.0057223258,,feature_importance
xgboost,total_population,0.004298335,,feature_importance
