"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Vehicle","Index_Motoritzacio"
2023,"01","Ciutat Vella","01","el Raval","001","Turismes",288.92
2023,"01","Ciutat Vella","01","el Raval","001","Motos",120.39
2023,"01","Ciutat Vella","01","el Raval","001","Ciclomotors",290.53
2023,"01","Ciutat Vella","01","el Raval","001","Furgonetes",31.3
2023,"01","Ciutat Vella","01","el Raval","001","Camions",31.3
2023,"01","Ciutat Vella","01","el Raval","001","Resta de vehicles",77.85
2023,"01","Ciutat Vella","01","el Raval","002","Turismes",149.43
2023,"01","Ciutat Vella","01","el Raval","002","Motos",113.89
2023,"01","Ciutat Vella","01","el Raval","002","Ciclomotors",41.2
2023,"01","Ciutat Vella","01","el Raval","002","Furgonetes",25.85
2023,"01","Ciutat Vella","01","el Raval","002","Camions",7.27
2023,"01","Ciutat Vella","01","el Raval","002","Resta de vehicles",4.85
2023,"01","Ciutat Vella","01","el Raval","003","Turismes",120.38
2023,"01","Ciutat Vella","01","el Raval","003","Motos",59.01
2023,"01","Ciutat Vella","01","el Raval","003","Ciclomotors",21.14
2023,"01","Ciutat Vella","01","el Raval","003","Furgonetes",11.45
2023,"01","Ciutat Vella","01","el Raval","003","Camions",16.74
2023,"01","Ciutat Vella","01","el Raval","003","Resta de vehicles",1.47
2023,"01","Ciutat Vella","01","el Raval","004","Turismes",147.87
2023,"01","Ciutat Vella","01","el Raval","004","Motos",84
2023,"01","Ciutat Vella","01","el Raval","004","Ciclomotors",26.03
2023,"01","Ciutat Vella","01","el Raval","004","Furgonetes",15.62
2023,"01","Ciutat Vella","01","el Raval","004","Camions",5.55
2023,"01","Ciutat Vella","01","el Raval","004","Resta de vehicles",2.08
2023,"01","Ciutat Vella","01","el Raval","005","Turismes",136.01
2023,"01","Ciutat Vella","01","el Raval","005","Motos",91.54
2023,"01","Ciutat Vella","01","el Raval","005","Ciclomotors",31.82
