Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G,SEXE
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,334,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,374,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,62,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,74,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,231,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,233,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,268,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,249,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,98,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,94,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,258,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,314,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,921,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,994,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,123,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,122,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,618,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,721,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,738,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,767,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,147,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,195,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,508,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,641,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,624,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,579,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,154,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,135,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,331,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,503,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,338,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,370,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,121,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,115,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,281,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,391,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,399,1,1
