Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,109,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,122,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,115,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,163,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,114,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,134,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,191,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,184,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,14,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,110,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,132,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,127,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,141,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,112,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,126,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,199,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,187,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,20,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,10,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,338,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,400,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,309,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,421,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,271,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,309,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,332,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,296,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,13,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,6,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,231,2,1
