feature,n_valid,pearson,abs_pearson,spearman,abs_spearman
docks_ratio_capacity_mean,37,-0.9781553165517918,0.9781553165517918,-0.9786628733997154,0.9786628733997154
docks_available_mean,37,-0.7747023491425994,0.7747023491425994,-0.816026552868658,0.816026552868658
mechanical_bikes_mean,37,0.7178063698779141,0.7178063698779141,0.7652916073968704,0.7652916073968704
bikes_available_mean,37,0.6664335143896419,0.6664335143896419,0.7399241346609767,0.7399241346609767
mean_altitude_150m,36,-0.7369445758752249,0.7369445758752249,-0.7371943371943372,0.7371943371943372
docks_available_min,37,-0.4382740979911143,0.4382740979911143,-0.5077898220140551,0.5077898220140551
bikes_available_min,37,0.2820789735454884,0.2820789735454884,0.452291637796187,0.452291637796187
metro_nearest_m,37,0.31997156284891093,0.31997156284891093,0.35798956851588426,0.35798956851588426
metro_count_500m,37,-0.14428212478174396,0.14428212478174396,-0.30177684478780104,0.30177684478780104
ebikes_mean,37,-0.24372969674250552,0.24372969674250552,-0.29208155523944995,0.29208155523944995
bus_unique_lines_300m,37,-0.31727939253526166,0.31727939253526166,-0.28388057454370647,0.28388057454370647
nearby_distance,37,-0.39352788805431843,0.39352788805431843,-0.2809757434745082,0.2809757434745082
tram_nearest_m,37,-0.2277202928692627,0.2277202928692627,-0.2467994310099573,0.2467994310099573
metro_unique_lines_500m,37,-0.1481768450699789,0.1481768450699789,-0.18577138403282167,0.18577138403282167
bus_count_300m,37,-0.24806528773839318,0.24806528773839318,-0.18172122313854921,0.18172122313854921
bikes_available_max,37,0.020195692383511175,0.020195692383511175,0.15792334895889237,0.15792334895889237
bikes_ratio_capacity_std,37,0.10619955329492237,0.10619955329492237,0.11356092935040303,0.11356092935040303
bus_nearest_m,37,0.32749690904606493,0.32749690904606493,-0.0948316737790422,0.0948316737790422
bike_lane_nearest_m,37,0.12459959793330885,0.12459959793330885,-0.09080132764343289,0.09080132764343289
bike_lane_len_300m,37,-0.1263303264289491,0.1263303264289491,-0.08608015418694005,0.08608015418694005
bikes_available_std,37,-0.022000071842250855,0.022000071842250855,0.07491702228544332,0.07491702228544332
n_observations,37,-0.3972955051092317,0.3972955051092317,-0.07332268430562701,0.07332268430562701
docks_available_max,37,-0.19641635757813444,0.19641635757813444,-0.07137355480081811,0.07137355480081811
tram_count_500m,37,-0.21846160703544715,0.21846160703544715,-0.06861430249821793,0.06861430249821793
tram_unique_lines_500m,37,-0.15485051957519913,0.15485051957519913,-0.06337507634101928,0.06337507634101928
poi_count_300m,37,-0.11730740788197133,0.11730740788197133,-0.05571691077299881,0.05571691077299881
capacity,37,-0.10403028775274976,0.10403028775274976,0.05486088359134334,0.05486088359134334
docks_available_std,37,-0.05223626489706623,0.05223626489706623,0.04433380749170222,0.04433380749170222
docks_ratio_capacity_std,37,-0.14369935770624567,0.14369935770624567,0.0002370791844476055,0.0002370791844476055
