feature_1,feature_2,spearman_corr,abs_spearman_corr
tram_count_500m,tram_unique_lines_500m,0.9993878175122617,0.9993878175122617
bikes_available_std,docks_available_std,0.9888572783309626,0.9888572783309626
capacity,bikes_available_max,0.9704768922848662,0.9704768922848662
bikes_ratio_capacity_std,docks_ratio_capacity_std,0.9653864390706496,0.9653864390706496
capacity,docks_available_max,0.9611771749413902,0.9611771749413902
metro_count_500m,metro_unique_lines_500m,0.9385232875446501,0.9385232875446501
bikes_available_mean,mechanical_bikes_mean,0.9383594120436226,0.9383594120436226
bikes_available_max,docks_available_max,0.930000164753445,0.930000164753445
bus_count_300m,bus_unique_lines_300m,0.8942722548780521,0.8942722548780521
docks_available_std,docks_available_max,0.8938914259330415,0.8938914259330415
bikes_available_max,docks_available_std,0.8905023153483366,0.8905023153483366
docks_available_mean,docks_ratio_capacity_mean,0.8902323376007587,0.8902323376007587
bikes_available_std,bikes_available_max,0.8868186254930125,0.8868186254930125
bikes_available_std,docks_available_max,0.8834407224014742,0.8834407224014742
capacity,docks_available_std,0.8634626026115779,0.8634626026115779
metro_unique_lines_500m,poi_count_300m,0.8612535425221498,0.8612535425221498
bikes_available_std,bikes_ratio_capacity_std,0.8522996680891418,0.8522996680891418
capacity,bikes_available_std,0.8510592724083176,0.8510592724083176
